Player,Milestone Step,Total Games,Milestone Games,Career Average,Milestone Average,Difference,Hypothesis Supported
Reggie Miller,5000,1389,5,18.2,22.2,4.0,Yes
Mitch Richmond,5000,976,4,21.0,21.5,0.5,Yes
David Robinson,5000,987,4,21.06,20.5,-0.56,No
Shaquille O'Neal,5000,1207,5,23.69,25.4,1.71,Yes
Gary Payton,5000,1335,4,16.34,21.75,5.41,Yes
Allen Iverson,5000,914,4,26.66,37.0,10.34,Yes
Kobe Bryant,5000,1346,6,24.99,34.5,9.51,Yes
Kevin Garnett,5000,1462,5,17.83,16.0,-1.83,No
Ray Allen,5000,1300,4,18.85,17.5,-1.35,No
Dirk Nowitzki,5000,1522,6,20.74,27.83,7.1,Yes
Paul Pierce,5000,1343,5,19.66,24.6,4.94,Yes
Vince Carter,5000,1541,5,16.7,24.0,7.3,Yes
Tim Duncan,5000,1392,5,19.03,19.8,0.77,Yes
LeBron James,5000,1562,8,27.01,29.88,2.87,Yes
Antawn Jamison,5000,1083,4,18.51,21.0,2.49,Yes
Carmelo Anthony,5000,1260,5,22.45,25.2,2.75,Yes
Dwyane Wade,5000,1054,4,21.98,28.0,6.02,Yes
Joe Johnson,5000,1277,4,15.98,17.75,1.77,Yes
Pau Gasol,5000,1226,4,17.04,20.5,3.46,Yes
Kevin Durant,5000,1123,6,27.22,32.17,4.94,Yes
James Harden,5000,1151,5,24.05,29.8,5.75,Yes
Russell Westbrook,5000,1237,5,21.18,32.0,10.82,Yes
Chris Paul,5000,1284,4,17.0,27.0,10.0,Yes
LaMarcus Aldridge,5000,1076,4,19.11,24.0,4.89,Yes
Stephen Curry,5000,1026,5,24.74,29.0,4.26,Yes
