Player,Current Points,Target Milestone,Points Needed
Naz Reid,4997,5000,3
Desmond Bane,5997,6000,3
Jeff Green,17990,18000,10
Collin Sexton,7984,8000,16
Donovan Mitchell,13965,14000,35
Jalen Williams,3950,4000,50
Kelly Oubre Jr.,9944,10000,56
Dennis Schröder,14930,15000,70
Tyrese Maxey,6886,7000,114
Marvin Bagley III,4885,5000,115
Dwight Powell,4884,5000,116
Trey Murphy III,3877,4000,123
Jaren Jackson Jr.,7873,8000,127
Gary Harris,6862,7000,138
Steven Adams,6851,7000,149
Luka Dončić,14850,15000,150
Deandre Ayton,6843,7000,157
Bogdan Bogdanović,7839,8000,161
Ivica Zubac,6835,7000,165
Stephen Curry,25832,26000,168
Evan Mobley,4831,5000,169
Georges Niang,4830,5000,170
Draymond Green,7825,8000,175
Daniel Gafford,4825,5000,175
John Collins,7818,8000,182
Nikola Jokić,16813,17000,187
Gary Trent Jr.,6810,7000,190
Dejounte Murray,7803,8000,197
