SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21996,947,29600003,1996-11-01,PHI vs. MIL,L,37,12,19,0.632,2,4,0.5,4,6,0.667,2,0,2,6,1,0,3,5,30,-15,0,1975-06-07T00:00:00
21996,947,29600019,1996-11-02,PHI @ CHI,L,26,4,13,0.308,2,3,0.667,5,8,0.625,1,3,4,2,2,1,5,0,15,-30,0,1975-06-07T00:00:00
21996,947,29600032,1996-11-05,PHI vs. DET,L,38,9,18,0.5,3,6,0.5,3,7,0.429,2,5,7,2,3,1,3,4,24,-4,0,1975-06-07T00:00:00
21996,947,29600053,1996-11-08,PHI @ BOS,W,42,9,19,0.474,0,3,0.0,14,22,0.636,0,6,6,4,2,1,4,2,32,8,0,1975-06-07T00:00:00
21996,947,29600063,1996-11-09,PHI vs. PHX,W,26,3,10,0.3,0,3,0.0,0,0,0.0,0,2,2,8,3,1,9,6,6,15,0,1975-06-07T00:00:00
21996,947,29600079,1996-11-12,PHI @ NYK,W,44,10,19,0.526,5,9,0.556,10,17,0.588,3,4,7,6,2,0,5,2,35,5,0,1975-06-07T00:00:00
21996,947,29600091,1996-11-13,PHI @ TOR,L,44,8,18,0.444,5,11,0.455,3,6,0.5,2,0,2,3,1,1,5,1,24,-19,0,1975-06-07T00:00:00
21996,947,29600106,1996-11-15,PHI vs. CLE,L,34,6,19,0.316,1,3,0.333,3,4,0.75,2,6,8,8,0,0,4,2,16,6,0,1975-06-07T00:00:00
21996,947,29600160,1996-11-23,PHI vs. NYK,W,42,7,20,0.35,3,8,0.375,9,16,0.563,2,7,9,9,4,1,7,2,26,15,0,1975-06-07T00:00:00
21996,947,29600179,1996-11-26,PHI vs. LAL,L,43,6,27,0.222,2,6,0.333,2,2,1.0,4,3,7,10,3,0,2,3,16,-11,0,1975-06-07T00:00:00
21996,947,29600200,1996-11-29,PHI vs. ORL,W,31,6,15,0.4,2,5,0.4,0,0,0.0,4,3,7,10,5,0,7,2,14,10,0,1975-06-07T00:00:00
21996,947,29600210,1996-11-30,PHI vs. VAN,W,39,8,14,0.571,1,5,0.2,6,7,0.857,1,1,2,9,6,0,10,2,23,3,0,1975-06-07T00:00:00
21996,947,29600239,1996-12-04,PHI @ SAS,L,42,7,21,0.333,0,1,0.0,12,15,0.8,1,2,3,11,1,0,5,5,26,-9,0,1975-06-07T00:00:00
21996,947,29600245,1996-12-05,PHI @ DAL,L,45,12,25,0.48,4,10,0.4,8,9,0.889,2,2,4,11,1,1,7,5,36,-1,0,1975-06-07T00:00:00
21996,947,29600263,1996-12-07,PHI @ HOU,L,39,11,25,0.44,6,13,0.462,7,12,0.583,2,5,7,4,0,0,5,4,35,-13,0,1975-06-07T00:00:00
21996,947,29600273,1996-12-09,PHI vs. SEA,L,41,4,17,0.235,1,9,0.111,3,6,0.5,1,1,2,11,1,0,7,1,12,-23,0,1975-06-07T00:00:00
21996,947,29600288,1996-12-11,PHI vs. MIA,L,38,2,17,0.118,1,9,0.111,3,4,0.75,1,1,2,6,2,1,6,2,8,-9,0,1975-06-07T00:00:00
21996,947,29600328,1996-12-17,PHI vs. CHH,L,36,5,18,0.278,0,6,0.0,1,4,0.25,2,2,4,7,2,0,7,3,11,-12,0,1975-06-07T00:00:00
21996,947,29600349,1996-12-20,PHI vs. NYK,L,42,7,23,0.304,2,10,0.2,6,11,0.545,2,3,5,6,3,0,5,6,22,-7,0,1975-06-07T00:00:00
21996,947,29600359,1996-12-21,PHI vs. CHI,L,46,11,23,0.478,4,8,0.5,6,6,1.0,0,4,4,4,0,0,9,3,32,-7,0,1975-06-07T00:00:00
21996,947,29600390,1996-12-26,PHI @ DEN,W,31,13,19,0.684,1,2,0.5,4,5,0.8,2,3,5,6,4,0,0,1,31,17,0,1975-06-07T00:00:00
21996,947,29600407,1996-12-28,PHI @ UTA,L,34,5,22,0.227,1,8,0.125,4,6,0.667,2,4,6,6,2,0,2,2,15,-13,0,1975-06-07T00:00:00
21996,947,29600412,1996-12-29,PHI @ LAL,L,40,8,18,0.444,2,6,0.333,3,4,0.75,5,2,7,10,0,2,4,3,21,-14,0,1975-06-07T00:00:00
21996,947,29600433,1997-01-02,PHI @ SEA,L,43,8,21,0.381,2,8,0.25,2,6,0.333,2,3,5,5,3,0,7,2,20,-16,0,1975-06-07T00:00:00
21996,947,29600440,1997-01-03,PHI @ GSW,L,46,8,19,0.421,4,9,0.444,6,8,0.75,1,1,2,8,4,0,4,2,26,2,0,1975-06-07T00:00:00
21996,947,29600453,1997-01-05,PHI @ SAC,L,35,4,13,0.308,2,4,0.5,6,8,0.75,1,0,1,6,2,0,3,4,16,5,0,1975-06-07T00:00:00
21996,947,29600460,1997-01-07,PHI @ ORL,L,40,8,17,0.471,3,7,0.429,6,8,0.75,1,2,3,3,3,2,4,4,25,-16,0,1975-06-07T00:00:00
21996,947,29600469,1997-01-08,PHI vs. DAL,L,31,6,14,0.429,4,9,0.444,6,7,0.857,5,3,8,6,2,0,3,4,22,-13,0,1975-06-07T00:00:00
21996,947,29600482,1997-01-10,PHI vs. HOU,L,38,9,24,0.375,3,9,0.333,5,6,0.833,0,1,1,11,3,0,4,5,26,-18,0,1975-06-07T00:00:00
21996,947,29600503,1997-01-13,PHI vs. UTA,L,39,9,18,0.5,3,4,0.75,2,2,1.0,0,1,1,7,2,1,6,6,23,0,0,1975-06-07T00:00:00
21996,947,29600516,1997-01-15,PHI vs. GSW,L,38,4,13,0.308,0,4,0.0,4,8,0.5,0,2,2,8,3,1,2,3,12,-13,0,1975-06-07T00:00:00
21996,947,29600530,1997-01-17,PHI vs. NJN,L,44,10,23,0.435,1,6,0.167,6,7,0.857,4,5,9,9,2,0,8,3,27,-4,0,1975-06-07T00:00:00
21996,947,29600547,1997-01-19,PHI @ IND,L,45,9,24,0.375,2,8,0.25,17,19,0.895,2,2,4,5,2,0,2,2,37,-1,0,1975-06-07T00:00:00
21996,947,29600553,1997-01-20,PHI vs. MIL,L,43,11,29,0.379,3,7,0.429,6,7,0.857,4,1,5,5,3,0,1,3,31,-12,0,1975-06-07T00:00:00
21996,947,29600569,1997-01-22,PHI @ BOS,W,48,10,21,0.476,0,4,0.0,6,9,0.667,0,1,1,7,5,1,4,3,26,-2,0,1975-06-07T00:00:00
21996,947,29600584,1997-01-24,PHI vs. SAC,L,36,5,17,0.294,0,3,0.0,6,6,1.0,1,2,3,8,2,0,5,2,16,-17,0,1975-06-07T00:00:00
