SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22003,2546,20300011,2003-10-29,DEN vs. SAS,W,29,4,15,0.267,0,1,0.0,4,8,0.5,3,4,7,3,1,0,3,3,12,11,0,1984-05-29T00:00:00
22003,2546,20300017,2003-10-30,DEN @ HOU,L,37,5,14,0.357,1,3,0.333,7,10,0.7,3,6,9,2,0,0,8,3,18,-15,0,1984-05-29T00:00:00
22003,2546,20300036,2003-11-01,DEN vs. SAC,W,38,9,14,0.643,0,1,0.0,5,7,0.714,2,4,6,5,0,1,3,1,23,19,0,1984-05-29T00:00:00
22003,2546,20300048,2003-11-04,DEN @ IND,L,19,1,13,0.077,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,1,2,-20,0,1984-05-29T00:00:00
22003,2546,20300057,2003-11-05,DEN @ CLE,W,39,6,17,0.353,1,2,0.5,1,3,0.333,2,4,6,2,0,1,1,2,14,-3,0,1984-05-29T00:00:00
22003,2546,20300073,2003-11-07,DEN vs. LAC,L,41,10,24,0.417,4,7,0.571,6,7,0.857,2,3,5,4,0,0,4,5,30,0,0,1984-05-29T00:00:00
22003,2546,20300085,2003-11-09,DEN @ TOR,L,42,6,16,0.375,1,3,0.333,6,7,0.857,0,2,2,1,1,0,1,4,19,-17,0,1984-05-29T00:00:00
22003,2546,20300092,2003-11-10,DEN @ CHI,W,43,9,21,0.429,1,4,0.25,7,8,0.875,4,4,8,3,5,1,3,1,26,10,0,1984-05-29T00:00:00
22003,2546,20300123,2003-11-14,DEN vs. ORL,W,41,6,23,0.261,1,5,0.2,4,6,0.667,6,8,14,7,3,1,4,3,17,-7,0,1984-05-29T00:00:00
22003,2546,20300148,2003-11-18,DEN @ MIN,L,28,3,12,0.25,1,4,0.25,3,4,0.75,2,7,9,0,0,0,2,2,10,-14,0,1984-05-29T00:00:00
