SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21989,764,28900019,1989-11-04,SAN vs. LAL,W,34,6,11,0.545,0,0,0.0,11,14,0.786,7,10,17,1,1,3,3,5,23,,0,1965-08-06T00:00:00
21989,764,28900040,1989-11-08,SAN vs. POR,L,40,3,10,0.3,0,0,0.0,13,21,0.619,3,15,18,2,4,8,3,4,19,,0,1965-08-06T00:00:00
21989,764,28900053,1989-11-10,SAN @ UTH,L,39,9,18,0.5,0,0,0.0,9,11,0.818,10,3,13,2,1,2,7,1,27,,0,1965-08-06T00:00:00
21989,764,28900063,1989-11-11,SAN vs. DEN,W,32,10,17,0.588,0,0,0.0,8,10,0.8,3,8,11,2,2,3,3,4,28,,0,1965-08-06T00:00:00
21989,764,28900071,1989-11-14,SAN @ MIL,L,38,5,11,0.455,0,0,0.0,8,10,0.8,1,4,5,5,1,2,2,3,18,,0,1965-08-06T00:00:00
21989,764,28900088,1989-11-15,SAN @ MIN,W,34,5,11,0.455,0,0,0.0,3,6,0.5,4,9,13,1,1,3,6,4,13,,0,1965-08-06T00:00:00
21989,764,28900101,1989-11-17,SAN @ PHL,L,27,8,13,0.615,0,0,0.0,4,5,0.8,9,5,14,1,0,0,2,6,20,,0,1965-08-06T00:00:00
21989,764,28900109,1989-11-18,SAN @ NJN,W,34,7,13,0.538,0,0,0.0,9,15,0.6,3,12,15,0,3,0,2,5,23,,0,1965-08-06T00:00:00
21989,764,28900124,1989-11-21,SAN vs. PHX,W,38,7,16,0.438,0,0,0.0,6,14,0.429,6,9,15,4,1,2,4,3,20,,0,1965-08-06T00:00:00
21989,764,28900138,1989-11-24,SAN @ LAC,W,39,6,14,0.429,0,0,0.0,8,8,1.0,2,9,11,1,1,2,6,4,20,,0,1965-08-06T00:00:00
21989,764,28900156,1989-11-26,SAN @ LAL,L,29,9,11,0.818,0,0,0.0,7,9,0.778,4,2,6,3,2,1,2,6,25,,0,1965-08-06T00:00:00
21989,764,28900163,1989-11-28,SAN vs. SEA,W,30,5,8,0.625,0,0,0.0,11,14,0.786,5,7,12,1,2,3,3,4,21,,0,1965-08-06T00:00:00
21989,764,28900180,1989-11-30,SAN vs. DAL,W,37,6,12,0.5,0,0,0.0,3,3,1.0,3,14,17,3,0,5,3,5,15,,0,1965-08-06T00:00:00
21989,764,28900201,1989-12-02,SAN vs. CHH,W,39,10,16,0.625,0,0,0.0,12,15,0.8,5,13,18,0,1,2,3,1,32,,0,1965-08-06T00:00:00
21989,764,28900220,1989-12-06,SAN vs. GOS,W,31,10,19,0.526,0,0,0.0,8,13,0.615,4,8,12,0,1,1,4,4,28,,0,1965-08-06T00:00:00
21989,764,28900234,1989-12-08,SAN @ DAL,W,41,11,18,0.611,0,0,0.0,7,12,0.583,5,9,14,1,5,2,1,4,29,,0,1965-08-06T00:00:00
