SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22003,2548,20300001,2003-10-28,MIA @ PHI,L,41,8,18,0.444,0,1,0.0,2,3,0.667,1,3,4,4,0,0,5,3,18,-5,0,1982-01-17T00:00:00
22003,2548,20300004,2003-10-29,MIA @ BOS,L,34,2,12,0.167,1,2,0.5,0,0,0.0,1,1,2,4,1,0,0,5,5,-17,0,1982-01-17T00:00:00
22003,2548,20300020,2003-10-31,MIA vs. DET,L,23,1,9,0.111,0,0,0.0,2,2,1.0,2,1,3,2,0,1,2,1,4,-17,0,1982-01-17T00:00:00
22003,2548,20300077,2003-11-08,MIA vs. MIN,L,42,8,21,0.381,1,2,0.5,2,4,0.5,0,3,3,5,1,1,3,3,19,-6,0,1982-01-17T00:00:00
22003,2548,20300099,2003-11-11,MIA @ HOU,L,38,4,9,0.444,0,1,0.0,3,4,0.75,0,5,5,5,3,0,3,3,11,-15,0,1982-01-17T00:00:00
22003,2548,20300106,2003-11-12,MIA vs. CLE,W,35,5,17,0.294,0,1,0.0,4,5,0.8,3,4,7,5,0,1,3,3,14,8,0,1982-01-17T00:00:00
22003,2548,20300117,2003-11-14,MIA vs. WAS,W,33,3,10,0.3,0,1,0.0,1,2,0.5,3,2,5,6,3,0,3,1,7,-2,0,1982-01-17T00:00:00
22003,2548,20300138,2003-11-16,MIA @ LAL,L,26,4,10,0.4,0,0,0.0,2,4,0.5,0,1,1,1,1,1,5,4,10,-17,0,1982-01-17T00:00:00
22003,2548,20300151,2003-11-18,MIA @ SEA,W,34,8,15,0.533,0,0,0.0,2,3,0.667,2,3,5,5,4,0,5,2,18,1,0,1982-01-17T00:00:00
22003,2548,20300161,2003-11-19,MIA @ POR,L,36,9,16,0.563,0,2,0.0,6,9,0.667,4,2,6,4,0,2,5,2,24,-9,0,1982-01-17T00:00:00
22003,2548,20300173,2003-11-21,MIA @ GSW,L,33,5,17,0.294,0,2,0.0,3,4,0.75,4,2,6,3,2,0,4,3,13,-11,0,1982-01-17T00:00:00
22003,2548,20300181,2003-11-22,MIA @ PHX,L,37,9,18,0.5,2,3,0.667,7,7,1.0,2,2,4,5,1,0,4,1,27,1,0,1982-01-17T00:00:00
22003,2548,20300193,2003-11-25,MIA vs. NOH,W,32,3,11,0.273,0,2,0.0,0,0,0.0,1,3,4,4,0,1,4,2,6,-10,0,1982-01-17T00:00:00
22003,2548,20300212,2003-11-28,MIA @ ATL,L,40,5,15,0.333,0,1,0.0,1,2,0.5,3,2,5,8,2,0,4,2,11,2,0,1982-01-17T00:00:00
22003,2548,20300226,2003-11-29,MIA vs. TOR,W,40,6,15,0.4,0,1,0.0,4,4,1.0,2,3,5,5,2,1,0,3,16,12,0,1982-01-17T00:00:00
22003,2548,20300248,2003-12-03,MIA @ DET,L,41,6,9,0.667,0,1,0.0,3,3,1.0,4,3,7,4,1,0,4,3,15,-11,0,1982-01-17T00:00:00
22003,2548,20300262,2003-12-05,MIA vs. PHI,L,44,9,17,0.529,0,0,0.0,3,3,1.0,2,1,3,4,3,2,1,2,21,-6,0,1982-01-17T00:00:00
22003,2548,20300272,2003-12-06,MIA vs. SAS,L,35,7,15,0.467,0,0,0.0,0,0,0.0,2,1,3,1,1,0,2,4,14,-10,0,1982-01-17T00:00:00
22003,2548,20300292,2003-12-09,MIA vs. PHX,W,33,7,13,0.538,0,0,0.0,4,5,0.8,1,6,7,5,3,2,2,2,18,10,0,1982-01-17T00:00:00
22003,2548,20300312,2003-12-12,MIA vs. MEM,W,35,6,11,0.545,0,0,0.0,2,5,0.4,2,2,4,2,0,1,3,4,14,-7,0,1982-01-17T00:00:00
22003,2548,20300328,2003-12-14,MIA @ TOR,W,39,9,17,0.529,0,1,0.0,5,8,0.625,1,2,3,4,1,1,4,2,23,6,0,1982-01-17T00:00:00
22003,2548,20300340,2003-12-16,MIA vs. ATL,W,38,15,22,0.682,0,1,0.0,2,3,0.667,4,2,6,8,1,1,1,3,32,18,0,1982-01-17T00:00:00
22003,2548,20300347,2003-12-17,MIA @ PHI,L,44,9,17,0.529,1,1,1.0,3,3,1.0,0,3,3,3,4,0,4,1,22,-11,0,1982-01-17T00:00:00
22003,2548,20300367,2003-12-19,MIA @ MEM,L,35,7,18,0.389,1,1,1.0,6,7,0.857,3,1,4,3,0,1,2,2,21,-16,0,1982-01-17T00:00:00
22003,2548,20300382,2003-12-21,MIA vs. GSW,W,39,10,16,0.625,3,3,1.0,10,12,0.833,0,3,3,8,1,1,1,2,33,13,0,1982-01-17T00:00:00
