SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21990,56,29000022,1990-11-03,SEA vs. HOU,W,31,4,11,0.364,0,1,0.0,2,2,1.0,3,3,6,6,2,0,3,3,10,,0,1968-07-23T00:00:00
21990,56,29000028,1990-11-06,SEA vs. DET,W,31,4,8,0.5,0,0,0.0,1,2,0.5,1,1,2,6,3,0,2,5,9,,0,1968-07-23T00:00:00
21990,56,29000052,1990-11-09,SEA @ DEN,W,29,6,12,0.5,0,0,0.0,1,4,0.25,4,2,6,10,3,1,6,3,13,,0,1968-07-23T00:00:00
21990,56,29000062,1990-11-10,SEA vs. GOS,L,35,6,10,0.6,0,0,0.0,2,2,1.0,1,2,3,9,4,0,3,3,14,,0,1968-07-23T00:00:00
21990,56,29000080,1990-11-13,SEA vs. NYK,L,41,9,16,0.563,0,1,0.0,1,1,1.0,1,3,4,7,4,0,4,5,19,,0,1968-07-23T00:00:00
21990,56,29000111,1990-11-17,SEA vs. CHI,L,21,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,5,2,0,4,4,2,,0,1968-07-23T00:00:00
21990,56,29000114,1990-11-18,SEA @ LAC,L,38,5,15,0.333,0,1,0.0,0,0,0.0,0,0,0,5,2,0,2,0,10,,0,1968-07-23T00:00:00
21990,56,29000126,1990-11-20,SEA vs. NJN,W,34,5,6,0.833,0,0,0.0,0,0,0.0,3,2,5,9,4,0,5,4,10,,0,1968-07-23T00:00:00
21990,56,29000140,1990-11-23,SEA @ UTH,L,30,1,7,0.143,0,1,0.0,2,2,1.0,0,4,4,4,4,0,3,3,4,,0,1968-07-23T00:00:00
21990,56,29000162,1990-11-27,SEA vs. SAN,L,32,2,8,0.25,0,0,0.0,0,0,0.0,1,0,1,8,4,1,2,5,4,,0,1968-07-23T00:00:00
21990,56,29000182,1990-11-29,SEA @ PHX,L,25,1,3,0.333,0,0,0.0,0,0,0.0,2,3,5,6,0,0,3,4,2,,0,1968-07-23T00:00:00
21990,56,29000201,1990-12-01,SEA vs. POR,L,50,7,16,0.438,0,1,0.0,0,0,0.0,3,0,3,8,3,0,3,6,14,,0,1968-07-23T00:00:00
21990,56,29000207,1990-12-03,SEA @ BOS,L,33,2,4,0.5,0,0,0.0,0,0,0.0,1,0,1,4,1,0,2,2,4,,0,1968-07-23T00:00:00
21990,56,29000212,1990-12-04,SEA @ NJN,L,31,4,9,0.444,0,0,0.0,0,0,0.0,2,1,3,9,5,0,1,6,8,,0,1968-07-23T00:00:00
21990,56,29000228,1990-12-06,SEA @ MIA,W,32,3,8,0.375,0,0,0.0,0,0,0.0,2,1,3,5,4,1,3,3,6,,0,1968-07-23T00:00:00
21990,56,29000237,1990-12-07,SEA @ ORL,L,26,5,15,0.333,0,1,0.0,0,0,0.0,3,2,5,7,2,0,5,3,10,,0,1968-07-23T00:00:00
21990,56,29000249,1990-12-09,SEA @ MIL,L,30,4,8,0.5,0,1,0.0,1,2,0.5,3,1,4,6,4,0,5,4,9,,0,1968-07-23T00:00:00
21990,56,29000264,1990-12-12,SEA vs. IND,W,26,2,7,0.286,0,0,0.0,1,2,0.5,3,1,4,8,3,0,2,4,5,,0,1968-07-23T00:00:00
21990,56,29000269,1990-12-13,SEA @ GOS,L,20,2,7,0.286,0,0,0.0,1,2,0.5,0,2,2,3,2,1,2,4,5,,0,1968-07-23T00:00:00
21990,56,29000284,1990-12-15,SEA vs. DAL,W,23,3,7,0.429,0,0,0.0,1,2,0.5,1,0,1,5,1,0,2,1,7,,0,1968-07-23T00:00:00
21990,56,29000302,1990-12-18,SEA vs. ORL,W,19,4,6,0.667,0,0,0.0,1,1,1.0,0,2,2,5,1,0,4,3,9,,0,1968-07-23T00:00:00
21990,56,29000317,1990-12-20,SEA @ SAC,W,30,6,9,0.667,0,0,0.0,0,0,0.0,2,4,6,12,3,0,3,3,12,,0,1968-07-23T00:00:00
21990,56,29000332,1990-12-22,SEA vs. SAC,W,30,2,6,0.333,0,0,0.0,0,0,0.0,2,1,3,5,0,1,1,2,4,,0,1968-07-23T00:00:00
21990,56,29000348,1990-12-26,SEA @ CLE,W,25,4,7,0.571,0,0,0.0,4,4,1.0,0,1,1,7,0,0,1,2,12,,0,1968-07-23T00:00:00
21990,56,29000355,1990-12-27,SEA @ WAS,W,31,5,8,0.625,0,0,0.0,0,2,0.0,1,3,4,11,1,0,2,3,10,,0,1968-07-23T00:00:00
21990,56,29000375,1990-12-29,SEA @ CHI,L,29,4,7,0.571,0,0,0.0,2,2,1.0,0,4,4,6,3,1,4,2,10,,0,1968-07-23T00:00:00
21990,56,29000377,1990-12-30,SEA @ MIN,L,26,3,6,0.5,0,0,0.0,0,0,0.0,1,1,2,6,1,0,4,3,6,,0,1968-07-23T00:00:00
21990,56,29000386,1991-01-02,SEA vs. PHL,W,29,4,7,0.571,1,1,1.0,1,2,0.5,1,3,4,11,2,0,2,3,10,,0,1968-07-23T00:00:00
21990,56,29000398,1991-01-04,SEA vs. MIA,W,35,6,11,0.545,0,0,0.0,0,0,0.0,0,0,0,12,4,0,0,3,12,,0,1968-07-23T00:00:00
21990,56,29000416,1991-01-06,SEA @ POR,L,30,3,10,0.3,0,1,0.0,2,2,1.0,0,1,1,7,0,0,2,4,8,,0,1968-07-23T00:00:00
21990,56,29000433,1991-01-08,SEA vs. LAL,W,24,1,3,0.333,0,0,0.0,2,2,1.0,1,1,2,6,0,0,3,3,4,,0,1968-07-23T00:00:00
21990,56,29000444,1991-01-10,SEA vs. GOS,L,24,3,10,0.3,0,0,0.0,2,2,1.0,0,1,1,4,3,0,1,6,8,,0,1968-07-23T00:00:00
21990,56,29000463,1991-01-12,SEA @ SAC,L,31,0,5,0.0,0,0,0.0,0,0,0.0,1,1,2,9,3,0,4,2,0,,0,1968-07-23T00:00:00
21990,56,29000476,1991-01-15,SEA vs. DEN,W,20,4,8,0.5,0,0,0.0,0,0,0.0,1,1,2,8,2,0,3,3,8,,0,1968-07-23T00:00:00
21990,56,29000489,1991-01-18,SEA @ LAL,L,38,6,11,0.545,0,1,0.0,0,0,0.0,1,3,4,11,0,1,2,5,12,,0,1968-07-23T00:00:00
21990,56,29000502,1991-01-19,SEA vs. WAS,W,25,2,6,0.333,0,0,0.0,0,0,0.0,2,2,4,7,1,1,2,2,4,,0,1968-07-23T00:00:00
21990,56,29000518,1991-01-22,SEA vs. MIL,W,34,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,9,3,0,3,2,2,,0,1968-07-23T00:00:00
