SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22009,201935,20900012,2009-10-28,OKC vs. SAC,W,13,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,3,5,-5,0,1989-08-26T00:00:00
22009,201935,20900023,2009-10-30,OKC @ DET,W,17,1,6,0.167,0,1,0.0,0,0,0.0,1,1,2,8,0,0,0,3,2,17,0,1989-08-26T00:00:00
22009,201935,20900042,2009-11-01,OKC vs. POR,L,18,2,9,0.222,2,3,0.667,0,0,0.0,1,2,3,2,1,1,1,2,6,4,0,1989-08-26T00:00:00
22009,201935,20900057,2009-11-03,OKC vs. LAL,L,17,3,9,0.333,1,2,0.5,2,2,1.0,0,1,1,3,1,0,0,2,9,16,0,1989-08-26T00:00:00
22009,201935,20900081,2009-11-06,OKC @ HOU,L,10,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,4,-8,0,1989-08-26T00:00:00
22009,201935,20900094,2009-11-08,OKC vs. ORL,W,19,2,5,0.4,0,1,0.0,1,2,0.5,1,3,4,5,2,0,0,3,5,0,0,1989-08-26T00:00:00
22009,201935,20900108,2009-11-10,OKC @ SAC,L,19,3,7,0.429,3,5,0.6,0,0,0.0,0,4,4,1,1,1,1,3,9,1,0,1989-08-26T00:00:00
22009,201935,20900120,2009-11-11,OKC @ LAC,W,24,3,8,0.375,0,3,0.0,1,2,0.5,0,5,5,8,1,1,2,1,7,9,0,1989-08-26T00:00:00
22009,201935,20900142,2009-11-14,OKC @ SAS,W,20,3,6,0.5,0,1,0.0,2,3,0.667,1,1,2,1,1,1,2,4,8,-3,0,1989-08-26T00:00:00
22009,201935,20900144,2009-11-15,OKC vs. LAC,L,18,0,8,0.0,0,5,0.0,4,4,1.0,1,2,3,2,1,0,2,1,4,-9,0,1989-08-26T00:00:00
22009,201935,20900151,2009-11-17,OKC @ MIA,W,14,1,3,0.333,1,3,0.333,2,2,1.0,0,2,2,0,0,0,2,4,5,6,0,1989-08-26T00:00:00
22009,201935,20900160,2009-11-18,OKC @ ORL,L,31,7,14,0.5,6,7,0.857,4,4,1.0,0,3,3,3,1,0,1,2,24,5,0,1989-08-26T00:00:00
22009,201935,20900178,2009-11-20,OKC vs. WAS,W,26,8,11,0.727,4,6,0.667,5,6,0.833,3,1,4,1,4,0,2,5,25,4,0,1989-08-26T00:00:00
22009,201935,20900197,2009-11-22,OKC @ LAL,L,30,2,15,0.133,0,10,0.0,6,6,1.0,0,3,3,6,3,2,3,3,10,-4,0,1989-08-26T00:00:00
22009,201935,20900206,2009-11-24,OKC @ UTA,W,20,4,5,0.8,1,2,0.5,1,1,1.0,0,2,2,1,0,0,0,1,10,6,0,1989-08-26T00:00:00
22009,201935,20900228,2009-11-27,OKC vs. MIL,W,27,6,7,0.857,3,3,1.0,0,2,0.0,1,1,2,2,1,0,2,3,15,1,0,1989-08-26T00:00:00
22009,201935,20900244,2009-11-29,OKC vs. HOU,L,19,1,4,0.25,0,1,0.0,3,4,0.75,0,3,3,0,2,0,1,3,5,-12,0,1989-08-26T00:00:00
