SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22007,201142,20700011,2007-10-31,SEA @ DEN,L,32,7,22,0.318,2,7,0.286,2,4,0.5,0,5,5,1,3,1,2,3,18,-8,0,1988-09-29T00:00:00
22007,201142,20700014,2007-11-01,SEA vs. PHX,L,39,11,23,0.478,2,6,0.333,3,4,0.75,0,5,5,1,0,1,6,2,27,-3,0,1988-09-29T00:00:00
22007,201142,20700036,2007-11-04,SEA @ LAC,L,37,10,19,0.526,3,6,0.5,1,2,0.5,0,8,8,5,0,1,1,2,24,-18,0,1988-09-29T00:00:00
22007,201142,20700051,2007-11-06,SEA @ SAC,L,34,11,22,0.5,3,9,0.333,2,3,0.667,2,5,7,4,1,0,6,2,27,-16,0,1988-09-29T00:00:00
22007,201142,20700061,2007-11-07,SEA vs. MEM,L,32,3,17,0.176,1,4,0.25,10,10,1.0,0,2,2,1,1,0,2,2,17,-9,0,1988-09-29T00:00:00
22007,201142,20700078,2007-11-09,SEA vs. UTA,L,36,7,21,0.333,1,8,0.125,5,7,0.714,1,4,5,1,3,1,3,0,20,2,0,1988-09-29T00:00:00
22007,201142,20700091,2007-11-11,SEA vs. DET,L,33,7,20,0.35,1,4,0.25,4,5,0.8,2,4,6,2,1,1,2,0,19,-17,0,1988-09-29T00:00:00
22007,201142,20700097,2007-11-13,SEA @ ORL,L,25,4,13,0.308,0,3,0.0,2,2,1.0,0,1,1,0,2,2,4,2,10,-19,0,1988-09-29T00:00:00
22007,201142,20700109,2007-11-14,SEA @ MIA,W,34,6,16,0.375,3,6,0.5,3,4,0.75,2,3,5,1,1,0,5,2,18,-1,0,1988-09-29T00:00:00
22007,201142,20700123,2007-11-16,SEA @ ATL,W,45,8,18,0.444,1,5,0.2,4,4,1.0,1,2,3,2,3,3,4,2,21,-9,0,1988-09-29T00:00:00
22007,201142,20700132,2007-11-17,SEA @ CHA,L,29,3,12,0.25,0,2,0.0,10,10,1.0,1,0,1,1,1,1,3,2,16,-26,0,1988-09-29T00:00:00
22007,201142,20700146,2007-11-19,SEA @ MEM,L,30,2,8,0.25,0,0,0.0,7,8,0.875,0,2,2,2,0,0,5,2,11,-26,0,1988-09-29T00:00:00
22007,201142,20700181,2007-11-23,SEA vs. NJN,L,33,4,12,0.333,1,4,0.25,3,4,0.75,0,5,5,2,0,1,1,1,12,0,0,1988-09-29T00:00:00
22007,201142,20700195,2007-11-25,SEA vs. SAS,L,36,11,17,0.647,1,3,0.333,2,2,1.0,1,5,6,4,0,0,3,2,25,-14,0,1988-09-29T00:00:00
22007,201142,20700210,2007-11-27,SEA @ LAL,L,36,10,19,0.526,1,2,0.5,4,7,0.571,0,2,2,3,1,2,2,1,25,3,0,1988-09-29T00:00:00
22007,201142,20700220,2007-11-28,SEA vs. ORL,L,34,6,21,0.286,0,3,0.0,10,10,1.0,2,4,6,4,0,1,2,1,22,-8,0,1988-09-29T00:00:00
22007,201142,20700234,2007-11-30,SEA vs. IND,W,40,12,20,0.6,3,5,0.6,8,12,0.667,0,5,5,2,2,3,7,4,35,13,0,1988-09-29T00:00:00
22007,201142,20700248,2007-12-02,SEA vs. GSW,L,25,2,12,0.167,0,0,0.0,2,2,1.0,0,3,3,0,0,1,3,0,6,-28,0,1988-09-29T00:00:00
22007,201142,20700272,2007-12-05,SEA vs. LAC,W,35,4,12,0.333,1,2,0.5,7,8,0.875,0,7,7,1,0,2,3,4,16,3,0,1988-09-29T00:00:00
22007,201142,20700286,2007-12-07,SEA vs. MIL,W,39,9,20,0.45,2,6,0.333,15,16,0.938,2,6,8,1,0,5,3,4,35,18,0,1988-09-29T00:00:00
22007,201142,20700299,2007-12-09,SEA @ NOH,L,36,7,22,0.318,2,4,0.5,7,8,0.875,0,4,4,2,1,2,2,0,23,-1,0,1988-09-29T00:00:00
22007,201142,20700311,2007-12-11,SEA @ CHI,L,24,5,10,0.5,1,2,0.5,5,5,1.0,0,1,1,2,0,0,3,0,16,-16,0,1988-09-29T00:00:00
22007,201142,20700319,2007-12-12,SEA @ NYK,W,35,11,20,0.55,1,5,0.2,7,8,0.875,1,4,5,4,2,0,3,1,30,8,0,1988-09-29T00:00:00
22007,201142,20700334,2007-12-14,SEA @ MIN,W,35,4,17,0.235,1,5,0.2,4,4,1.0,0,5,5,0,2,1,8,2,13,6,0,1988-09-29T00:00:00
22007,201142,20700349,2007-12-15,SEA @ UTA,L,19,3,11,0.273,0,1,0.0,0,1,0.0,3,0,3,1,2,1,0,3,6,-19,0,1988-09-29T00:00:00
22007,201142,20700377,2007-12-19,SEA vs. NOH,L,31,7,15,0.467,0,2,0.0,4,4,1.0,0,4,4,5,0,0,0,0,18,-26,0,1988-09-29T00:00:00
22007,201142,20700390,2007-12-21,SEA vs. TOR,W,38,11,18,0.611,4,5,0.8,1,1,1.0,0,2,2,3,1,1,5,1,27,2,0,1988-09-29T00:00:00
22007,201142,20700407,2007-12-25,SEA @ POR,L,38,8,20,0.4,1,4,0.25,6,6,1.0,0,6,6,4,0,2,1,1,23,-5,0,1988-09-29T00:00:00
22007,201142,20700421,2007-12-27,SEA vs. BOS,L,37,10,23,0.435,1,4,0.25,4,4,1.0,1,4,5,2,1,1,3,4,25,-4,0,1988-09-29T00:00:00
22007,201142,20700442,2007-12-29,SEA vs. MIN,W,12,3,6,0.5,0,1,0.0,0,0,0.0,0,0,0,2,1,1,0,0,6,-6,0,1988-09-29T00:00:00
22007,201142,20700471,2008-01-03,SEA @ PHX,L,37,11,24,0.458,1,3,0.333,5,6,0.833,2,5,7,1,0,1,2,0,28,8,0,1988-09-29T00:00:00
22007,201142,20700491,2008-01-06,SEA @ WAS,L,35,7,21,0.333,0,4,0.0,5,6,0.833,1,5,6,3,0,0,2,1,19,-16,0,1988-09-29T00:00:00
22007,201142,20700503,2008-01-08,SEA @ CLE,L,31,10,20,0.5,1,3,0.333,3,3,1.0,0,6,6,1,0,1,4,0,24,-9,0,1988-09-29T00:00:00
22007,201142,20700512,2008-01-09,SEA @ NJN,L,32,5,14,0.357,0,4,0.0,5,5,1.0,0,2,2,1,1,2,3,0,15,-19,0,1988-09-29T00:00:00
22007,201142,20700533,2008-01-11,SEA vs. DAL,L,34,4,13,0.308,0,3,0.0,7,8,0.875,0,3,3,6,0,1,2,1,15,-18,0,1988-09-29T00:00:00
22007,201142,20700553,2008-01-14,SEA vs. LAL,L,41,6,26,0.231,2,6,0.333,5,6,0.833,0,1,1,1,1,2,0,1,19,-5,0,1988-09-29T00:00:00
22007,201142,20700569,2008-01-16,SEA @ NOH,L,30,9,15,0.6,1,2,0.5,1,1,1.0,1,6,7,6,1,0,4,0,20,-8,0,1988-09-29T00:00:00
22007,201142,20700578,2008-01-18,SEA @ MEM,L,28,8,18,0.444,2,4,0.5,4,4,1.0,3,0,3,0,0,0,3,1,22,-35,0,1988-09-29T00:00:00
22007,201142,20700591,2008-01-19,SEA @ DAL,L,25,3,12,0.25,0,1,0.0,0,1,0.0,1,1,2,0,0,0,1,1,6,-21,0,1988-09-29T00:00:00
22007,201142,20700600,2008-01-21,SEA @ HOU,L,35,4,13,0.308,1,4,0.25,3,4,0.75,1,3,4,2,0,1,4,1,12,-2,0,1988-09-29T00:00:00
22007,201142,20700620,2008-01-23,SEA vs. HOU,L,33,12,23,0.522,0,2,0.0,1,1,1.0,0,3,3,1,0,2,0,1,25,-8,0,1988-09-29T00:00:00
22007,201142,20700637,2008-01-25,SEA vs. ATL,L,32,7,21,0.333,0,4,0.0,3,3,1.0,0,2,2,0,2,0,4,3,17,-18,0,1988-09-29T00:00:00
22007,201142,20700651,2008-01-27,SEA vs. SAC,L,36,5,20,0.25,0,2,0.0,9,10,0.9,2,2,4,5,3,0,5,4,19,3,0,1988-09-29T00:00:00
22007,201142,20700663,2008-01-29,SEA vs. SAS,W,36,9,19,0.474,1,4,0.25,7,7,1.0,1,6,7,5,1,1,1,1,26,5,0,1988-09-29T00:00:00
22007,201142,20700677,2008-01-31,SEA vs. CLE,W,30,10,16,0.625,0,0,0.0,4,5,0.8,1,2,3,4,2,2,5,2,24,10,0,1988-09-29T00:00:00
22007,201142,20700695,2008-02-02,SEA vs. NYK,W,36,7,21,0.333,1,1,1.0,6,8,0.75,3,4,7,1,2,2,1,0,21,-4,0,1988-09-29T00:00:00
22007,201142,20700706,2008-02-04,SEA vs. CHI,L,31,7,15,0.467,0,0,0.0,6,6,1.0,1,3,4,3,3,1,0,0,20,-8,0,1988-09-29T00:00:00
22007,201142,20700721,2008-02-06,SEA @ SAC,W,38,6,12,0.5,1,2,0.5,4,6,0.667,0,3,3,5,1,0,1,1,17,23,0,1988-09-29T00:00:00
22007,201142,20700734,2008-02-08,SEA @ PHX,L,31,2,12,0.167,0,0,0.0,5,5,1.0,0,1,1,3,0,2,2,1,9,-10,0,1988-09-29T00:00:00
22007,201142,20700776,2008-02-13,SEA vs. UTA,L,35,7,17,0.412,0,3,0.0,5,6,0.833,0,3,3,0,2,0,3,2,19,-11,0,1988-09-29T00:00:00
22007,201142,20700802,2008-02-21,SEA @ POR,L,37,6,15,0.4,2,2,1.0,6,8,0.75,2,4,6,2,1,0,4,3,20,-2,0,1988-09-29T00:00:00
22007,201142,20700815,2008-02-22,SEA vs. POR,W,28,6,17,0.353,0,0,0.0,5,5,1.0,2,2,4,0,1,0,2,0,17,4,0,1988-09-29T00:00:00
22007,201142,20700830,2008-02-24,SEA vs. LAL,L,33,4,13,0.308,0,1,0.0,7,8,0.875,0,4,4,1,2,1,4,3,15,-34,0,1988-09-29T00:00:00
22007,201142,20700844,2008-02-26,SEA @ GSW,L,40,9,19,0.474,0,2,0.0,3,3,1.0,2,2,4,7,1,3,5,1,21,-8,0,1988-09-29T00:00:00
22007,201142,20700853,2008-02-27,SEA vs. DEN,L,34,4,17,0.235,0,0,0.0,8,9,0.889,3,3,6,2,3,0,3,2,16,-24,0,1988-09-29T00:00:00
22007,201142,20700869,2008-02-29,SEA vs. MIA,L,35,7,15,0.467,0,1,0.0,10,11,0.909,1,1,2,4,0,0,4,3,24,-14,0,1988-09-29T00:00:00
22007,201142,20700882,2008-03-02,SEA @ MIN,W,43,8,18,0.444,0,0,0.0,9,9,1.0,1,3,4,2,1,1,7,0,25,5,0,1988-09-29T00:00:00
22007,201142,20700891,2008-03-04,SEA @ DET,L,39,7,14,0.5,0,1,0.0,6,8,0.75,1,6,7,5,1,1,3,0,20,7,0,1988-09-29T00:00:00
22007,201142,20700902,2008-03-05,SEA @ MIL,L,38,9,18,0.5,0,1,0.0,5,6,0.833,2,1,3,2,3,0,1,4,23,-18,0,1988-09-29T00:00:00
22007,201142,20700913,2008-03-07,SEA @ PHI,L,29,6,11,0.545,0,0,0.0,2,2,1.0,2,1,3,2,0,1,6,0,14,-20,0,1988-09-29T00:00:00
22007,201142,20700934,2008-03-09,SEA @ TOR,L,36,7,15,0.467,0,1,0.0,6,6,1.0,0,6,6,3,1,0,5,2,20,5,0,1988-09-29T00:00:00
22007,201142,20700947,2008-03-11,SEA @ IND,L,38,7,14,0.5,1,1,1.0,12,13,0.923,0,2,2,0,1,1,1,4,27,-8,0,1988-09-29T00:00:00
22007,201142,20700954,2008-03-12,SEA @ BOS,L,33,7,14,0.5,0,1,0.0,2,2,1.0,1,2,3,1,0,3,4,2,16,-31,0,1988-09-29T00:00:00
22007,201142,20700975,2008-03-14,SEA vs. MIN,L,34,9,15,0.6,0,1,0.0,6,6,1.0,0,4,4,4,0,0,5,3,24,10,0,1988-09-29T00:00:00
22007,201142,20700989,2008-03-16,SEA @ DEN,L,27,8,12,0.667,0,0,0.0,7,9,0.778,1,2,3,0,0,0,2,2,23,-33,0,1988-09-29T00:00:00
22007,201142,20701014,2008-03-19,SEA vs. PHX,L,33,6,13,0.462,1,1,1.0,3,5,0.6,0,1,1,1,1,0,5,2,16,-9,0,1988-09-29T00:00:00
22007,201142,20701027,2008-03-21,SEA @ LAL,L,37,8,15,0.533,0,0,0.0,4,4,1.0,1,3,4,3,2,0,2,1,20,-13,0,1988-09-29T00:00:00
22007,201142,20701037,2008-03-22,SEA @ UTA,L,42,10,18,0.556,0,1,0.0,3,3,1.0,0,3,3,2,1,1,3,1,23,-11,0,1988-09-29T00:00:00
22007,201142,20701050,2008-03-24,SEA vs. POR,W,39,9,13,0.692,1,2,0.5,4,5,0.8,1,8,9,3,0,1,1,4,23,13,0,1988-09-29T00:00:00
22007,201142,20701068,2008-03-26,SEA vs. WAS,L,39,13,22,0.591,1,2,0.5,5,5,1.0,2,5,7,1,1,0,2,2,32,-9,0,1988-09-29T00:00:00
22007,201142,20701083,2008-03-28,SEA vs. CHA,L,40,6,17,0.353,0,4,0.0,6,6,1.0,0,5,5,1,0,2,2,1,18,-14,0,1988-09-29T00:00:00
22007,201142,20701097,2008-03-30,SEA vs. SAC,L,38,10,18,0.556,1,2,0.5,4,4,1.0,0,2,2,2,1,0,1,1,25,-10,0,1988-09-29T00:00:00
22007,201142,20701121,2008-04-02,SEA vs. LAC,L,42,13,23,0.565,0,1,0.0,4,5,0.8,2,3,5,1,0,1,5,2,30,-16,0,1988-09-29T00:00:00
22007,201142,20701136,2008-04-04,SEA vs. HOU,L,35,2,17,0.118,0,1,0.0,0,0,0.0,3,2,5,4,0,0,3,1,4,-22,0,1988-09-29T00:00:00
22007,201142,20701151,2008-04-06,SEA vs. DEN,W,51,11,24,0.458,2,4,0.5,13,13,1.0,0,8,8,9,3,0,5,2,37,-2,0,1988-09-29T00:00:00
22007,201142,20701160,2008-04-08,SEA @ DAL,L,37,6,16,0.375,0,1,0.0,4,5,0.8,1,5,6,3,0,1,0,0,16,-20,0,1988-09-29T00:00:00
22007,201142,20701171,2008-04-09,SEA @ HOU,L,39,10,23,0.435,1,1,1.0,5,7,0.714,1,2,3,4,4,0,2,1,26,-8,0,1988-09-29T00:00:00
22007,201142,20701185,2008-04-11,SEA @ SAS,L,35,9,19,0.474,0,0,0.0,2,3,0.667,2,4,6,3,0,1,0,1,20,-18,0,1988-09-29T00:00:00
22007,201142,20701202,2008-04-13,SEA vs. DAL,W,40,7,18,0.389,0,1,0.0,5,6,0.833,0,5,5,3,1,2,1,3,19,0,0,1988-09-29T00:00:00
22007,201142,20701230,2008-04-16,SEA @ GSW,W,43,18,25,0.72,1,2,0.5,5,6,0.833,3,10,13,6,1,2,5,0,42,14,0,1988-09-29T00:00:00
22008,201142,20800010,2008-10-29,OKC vs. MIL,L,34,5,14,0.357,0,3,0.0,2,2,1.0,0,3,3,2,0,0,4,4,12,-14,0,1988-09-29T00:00:00
22008,201142,20800035,2008-11-01,OKC @ HOU,L,35,11,20,0.55,0,0,0.0,4,4,1.0,1,4,5,2,4,0,3,2,26,-1,0,1988-09-29T00:00:00
22008,201142,20800041,2008-11-02,OKC vs. MIN,W,38,7,21,0.333,0,0,0.0,4,5,0.8,2,3,5,0,0,1,1,0,18,-2,0,1988-09-29T00:00:00
22008,201142,20800059,2008-11-05,OKC vs. BOS,L,32,6,15,0.4,0,1,0.0,5,6,0.833,1,1,2,2,1,1,3,0,17,-1,0,1988-09-29T00:00:00
22008,201142,20800074,2008-11-07,OKC @ UTA,L,34,9,15,0.6,1,2,0.5,5,6,0.833,0,5,5,3,1,0,2,4,24,-7,0,1988-09-29T00:00:00
22008,201142,20800089,2008-11-09,OKC vs. ATL,L,40,9,21,0.429,0,0,0.0,2,2,1.0,1,3,4,3,0,0,6,2,20,-9,0,1988-09-29T00:00:00
22008,201142,20800093,2008-11-10,OKC @ IND,L,40,13,27,0.481,2,3,0.667,9,9,1.0,2,6,8,2,0,3,4,2,37,-4,0,1988-09-29T00:00:00
22008,201142,20800124,2008-11-14,OKC @ NYK,L,33,8,21,0.381,0,1,0.0,7,9,0.778,0,2,2,2,1,1,2,0,23,-13,0,1988-09-29T00:00:00
22008,201142,20800134,2008-11-15,OKC @ PHI,L,30,6,18,0.333,0,0,0.0,1,4,0.25,3,0,3,1,0,0,5,0,13,-20,0,1988-09-29T00:00:00
22008,201142,20800146,2008-11-17,OKC vs. HOU,L,38,13,23,0.565,1,2,0.5,2,3,0.667,0,7,7,4,4,0,4,1,29,-16,0,1988-09-29T00:00:00
22008,201142,20800165,2008-11-19,OKC vs. LAC,L,37,7,14,0.5,2,3,0.667,2,2,1.0,0,3,3,1,0,0,5,1,18,-24,0,1988-09-29T00:00:00
22008,201142,20800180,2008-11-21,OKC vs. NOH,L,34,5,13,0.385,1,1,1.0,6,6,1.0,0,2,2,0,0,0,3,3,17,-24,0,1988-09-29T00:00:00
22008,201142,20800191,2008-11-22,OKC @ NOH,L,39,11,16,0.688,1,3,0.333,7,8,0.875,1,3,4,0,0,0,5,1,30,-15,0,1988-09-29T00:00:00
22008,201142,20800207,2008-11-25,OKC vs. PHX,L,44,9,19,0.474,3,4,0.75,8,8,1.0,1,3,4,1,1,1,0,0,29,-1,0,1988-09-29T00:00:00
22008,201142,20800211,2008-11-26,OKC @ CLE,L,32,6,16,0.375,0,1,0.0,1,1,1.0,0,1,1,1,0,0,2,3,13,-35,0,1988-09-29T00:00:00
22008,201142,20800230,2008-11-28,OKC vs. MIN,L,41,7,18,0.389,3,6,0.5,5,6,0.833,1,3,4,3,0,1,1,0,22,-3,0,1988-09-29T00:00:00
22008,201142,20800240,2008-11-29,OKC @ MEM,W,39,8,16,0.5,0,2,0.0,14,16,0.875,0,7,7,2,1,2,3,1,30,6,0,1988-09-29T00:00:00
22008,201142,20800264,2008-12-03,OKC @ CHA,L,37,9,12,0.75,3,4,0.75,3,4,0.75,2,1,3,2,2,1,3,4,24,-8,0,1988-09-29T00:00:00
