SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21996,977,29600027,1996-11-03,LAL vs. MIN,W,6,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,0,-8,0,1978-08-23T00:00:00
21996,977,29600031,1996-11-05,LAL @ NYK,W,3,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,0,1,-8,0,1978-08-23T00:00:00
21996,977,29600044,1996-11-06,LAL @ CHH,L,7,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,3,0,5,0,0,1978-08-23T00:00:00
21996,977,29600057,1996-11-08,LAL @ TOR,L,17,3,8,0.375,2,3,0.667,2,4,0.5,0,3,3,0,0,1,0,3,10,2,0,1978-08-23T00:00:00
21996,977,29600072,1996-11-10,LAL vs. ATL,W,8,0,3,0.0,0,0,0.0,2,2,1.0,1,2,3,1,0,0,0,0,2,-4,0,1978-08-23T00:00:00
21996,977,29600086,1996-11-12,LAL @ HOU,W,5,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,0,2,-4,0,1978-08-23T00:00:00
21996,977,29600095,1996-11-13,LAL @ SAS,L,6,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0,0,1,0,0,2,6,-4,0,1978-08-23T00:00:00
21996,977,29600112,1996-11-15,LAL vs. LAC,W,7,1,4,0.25,0,2,0.0,2,3,0.667,0,0,0,0,0,0,1,4,4,1,0,1978-08-23T00:00:00
21996,977,29600126,1996-11-17,LAL @ PHX,W,14,5,8,0.625,4,6,0.667,2,2,1.0,2,0,2,2,0,0,4,2,16,-3,0,1978-08-23T00:00:00
21996,977,29600136,1996-11-19,LAL @ GSW,W,8,0,2,0.0,0,1,0.0,3,4,0.75,0,2,2,1,0,0,1,2,3,-2,0,1978-08-23T00:00:00
21996,977,29600144,1996-11-20,LAL vs. UTA,L,21,4,5,0.8,3,3,1.0,0,0,0.0,0,1,1,1,0,1,2,1,11,-5,0,1978-08-23T00:00:00
21996,977,29600179,1996-11-26,LAL @ PHI,W,21,4,10,0.4,2,5,0.4,2,2,1.0,0,1,1,1,0,0,3,1,12,12,0,1978-08-23T00:00:00
21996,977,29600187,1996-11-27,LAL @ BOS,L,20,1,7,0.143,0,3,0.0,0,0,0.0,1,3,4,1,0,1,2,3,2,-8,0,1978-08-23T00:00:00
21996,977,29600202,1996-11-29,LAL @ DET,W,7,0,1,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,1,0,1,1,2,0,1978-08-23T00:00:00
21996,977,29600219,1996-12-01,LAL vs. DEN,W,3,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-4,0,1978-08-23T00:00:00
21996,977,29600240,1996-12-04,LAL @ UTA,L,13,2,6,0.333,0,0,0.0,4,6,0.667,1,2,3,2,0,0,1,1,8,0,0,1978-08-23T00:00:00
21996,977,29600270,1996-12-08,LAL vs. MIN,W,22,3,10,0.3,0,3,0.0,5,6,0.833,2,1,3,3,2,2,3,2,11,-1,0,1978-08-23T00:00:00
21996,977,29600284,1996-12-10,LAL @ SAC,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,0,0,-8,0,1978-08-23T00:00:00
21996,977,29600330,1996-12-17,LAL @ CHI,L,10,2,5,0.4,1,2,0.5,0,2,0.0,0,1,1,0,0,1,0,1,5,-5,0,1978-08-23T00:00:00
21996,977,29600337,1996-12-18,LAL @ MIL,W,8,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,1,1,0,0,-4,0,1978-08-23T00:00:00
21996,977,29600362,1996-12-21,LAL @ MIN,L,12,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,1,3,2,5,-4,0,1978-08-23T00:00:00
21996,977,29600382,1996-12-25,LAL @ PHX,W,5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,3,0,1978-08-23T00:00:00
21996,977,29600412,1996-12-29,LAL vs. PHI,W,7,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,3,0,2,0,1978-08-23T00:00:00
