SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22001,2200,20100020,2001-11-01,MEM vs. DET,L,17,2,5,0.4,0,0,0.0,0,2,0.0,0,4,4,1,0,1,4,3,4,1,0,1980-07-06T00:00:00
22001,2200,20100032,2001-11-02,MEM @ MIN,L,24,6,9,0.667,0,0,0.0,2,2,1.0,3,2,5,2,0,2,1,5,14,8,0,1980-07-06T00:00:00
22001,2200,20100045,2001-11-04,MEM vs. DAL,L,17,1,3,0.333,0,0,0.0,0,0,0.0,1,3,4,1,1,2,4,2,2,-11,0,1980-07-06T00:00:00
22001,2200,20100061,2001-11-06,MEM @ PHX,L,40,11,17,0.647,0,1,0.0,5,8,0.625,2,3,5,4,1,3,1,4,27,-8,0,1980-07-06T00:00:00
22001,2200,20100069,2001-11-07,MEM @ LAC,L,42,10,21,0.476,0,1,0.0,4,6,0.667,2,4,6,2,2,3,4,6,24,-4,0,1980-07-06T00:00:00
22001,2200,20100083,2001-11-09,MEM @ LAL,L,37,6,13,0.462,0,0,0.0,0,0,0.0,4,8,12,2,1,2,5,2,12,-7,0,1980-07-06T00:00:00
22001,2200,20100098,2001-11-12,MEM vs. GSW,L,30,6,10,0.6,0,0,0.0,4,6,0.667,1,4,5,1,0,4,1,4,16,9,0,1980-07-06T00:00:00
22001,2200,20100118,2001-11-15,MEM vs. POR,L,21,2,4,0.5,0,0,0.0,2,2,1.0,1,3,4,2,0,1,2,1,6,-2,0,1980-07-06T00:00:00
22001,2200,20100136,2001-11-17,MEM vs. CLE,W,38,6,12,0.5,0,0,0.0,5,12,0.417,2,8,10,1,0,2,1,2,17,13,0,1980-07-06T00:00:00
22001,2200,20100157,2001-11-21,MEM @ CLE,L,44,9,15,0.6,0,0,0.0,8,10,0.8,6,2,8,3,0,2,4,3,26,-2,0,1980-07-06T00:00:00
22001,2200,20100174,2001-11-23,MEM vs. PHX,L,32,7,16,0.438,0,0,0.0,4,6,0.667,5,3,8,2,0,2,2,1,18,-7,0,1980-07-06T00:00:00
22001,2200,20100183,2001-11-24,MEM @ DET,L,39,4,10,0.4,0,1,0.0,3,5,0.6,1,5,6,1,2,4,4,1,11,-3,0,1980-07-06T00:00:00
22001,2200,20100195,2001-11-26,MEM vs. SAC,W,33,6,11,0.545,0,0,0.0,3,4,0.75,1,5,6,3,0,1,1,5,15,5,0,1980-07-06T00:00:00
22001,2200,20100213,2001-11-29,MEM @ TOR,L,40,8,18,0.444,0,0,0.0,6,9,0.667,4,5,9,0,1,3,2,5,22,9,0,1980-07-06T00:00:00
22001,2200,20100220,2001-11-30,MEM vs. HOU,W,45,8,15,0.533,0,0,0.0,1,2,0.5,2,5,7,1,0,3,2,2,17,15,0,1980-07-06T00:00:00
