SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21998,1718,29800001,1999-02-05,BOS vs. TOR,L,39,7,14,0.5,2,4,0.5,3,6,0.5,0,9,9,5,2,4,1,4,19,-10,0,1977-10-13T00:00:00
21998,1718,29800013,1999-02-06,BOS vs. CLE,W,30,4,9,0.444,1,1,1.0,10,12,0.833,2,2,4,2,0,1,2,3,19,5,0,1977-10-13T00:00:00
21998,1718,29800029,1999-02-08,BOS @ ORL,L,32,5,14,0.357,2,4,0.5,0,0,0.0,2,4,6,2,3,1,2,6,12,-21,0,1977-10-13T00:00:00
21998,1718,29800037,1999-02-09,BOS @ MIA,W,28,9,16,0.563,1,3,0.333,0,1,0.0,2,5,7,0,1,2,1,4,19,13,0,1977-10-13T00:00:00
21998,1718,29800089,1999-02-16,BOS @ SAC,L,36,7,16,0.438,0,0,0.0,5,6,0.833,6,1,7,1,5,3,2,4,19,-2,0,1977-10-13T00:00:00
21998,1718,29800100,1999-02-17,BOS @ VAN,W,49,9,21,0.429,1,4,0.25,7,10,0.7,3,4,7,3,7,0,4,5,26,11,0,1977-10-13T00:00:00
21998,1718,29800115,1999-02-19,BOS @ POR,L,38,9,14,0.643,2,3,0.667,2,2,1.0,4,2,6,0,1,0,2,2,22,-17,0,1977-10-13T00:00:00
21998,1718,29800124,1999-02-21,BOS @ WAS,L,31,6,15,0.4,2,6,0.333,10,14,0.714,5,7,12,2,3,2,1,5,24,5,0,1977-10-13T00:00:00
21998,1718,29800146,1999-02-24,BOS vs. ORL,W,31,7,15,0.467,3,5,0.6,2,2,1.0,2,4,6,3,5,3,2,0,19,31,0,1977-10-13T00:00:00
21998,1718,29800162,1999-02-26,BOS vs. NYK,W,42,7,19,0.368,5,11,0.455,5,6,0.833,2,5,7,3,3,0,3,4,24,16,0,1977-10-13T00:00:00
21998,1718,29800172,1999-02-27,BOS @ NJN,W,38,8,18,0.444,1,6,0.167,4,6,0.667,3,4,7,5,0,0,5,4,21,2,0,1977-10-13T00:00:00
21998,1718,29800187,1999-03-01,BOS vs. NJN,L,40,8,16,0.5,2,5,0.4,2,4,0.5,2,7,9,4,4,1,1,4,20,1,0,1977-10-13T00:00:00
21998,1718,29800197,1999-03-02,BOS @ CLE,L,25,0,11,0.0,0,3,0.0,2,2,1.0,3,0,3,4,3,1,0,4,2,-11,0,1977-10-13T00:00:00
21998,1718,29800220,1999-03-05,BOS vs. DEN,W,32,4,9,0.444,3,5,0.6,6,8,0.75,1,3,4,0,3,1,2,4,17,17,0,1977-10-13T00:00:00
21998,1718,29800236,1999-03-07,BOS @ TOR,L,33,3,11,0.273,1,6,0.167,0,0,0.0,0,3,3,4,0,2,4,4,7,-5,0,1977-10-13T00:00:00
21998,1718,29800249,1999-03-09,BOS @ CHH,L,10,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,2,0,0,0,0,1977-10-13T00:00:00
21998,1718,29800295,1999-03-14,BOS @ IND,L,25,5,8,0.625,1,2,0.5,4,5,0.8,1,5,6,1,0,0,0,4,15,-4,0,1977-10-13T00:00:00
21998,1718,29800317,1999-03-17,BOS vs. LAC,W,26,4,9,0.444,1,1,1.0,3,5,0.6,2,3,5,0,2,0,0,2,12,3,0,1977-10-13T00:00:00
