SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21996,951,29600003,1996-11-01,MIL @ PHI,W,28,3,10,0.3,2,3,0.667,5,7,0.714,0,2,2,0,3,0,1,4,13,15,0,1975-07-20T00:00:00
21996,951,29600020,1996-11-02,MIL vs. BOS,W,21,7,10,0.7,2,4,0.5,2,3,0.667,1,2,3,2,3,0,1,1,18,8,0,1975-07-20T00:00:00
21996,951,29600046,1996-11-06,MIL vs. VAN,W,26,7,12,0.583,1,5,0.2,5,6,0.833,0,2,2,1,1,0,3,3,20,9,0,1975-07-20T00:00:00
21996,951,29600056,1996-11-08,MIL @ MIA,L,29,3,8,0.375,0,1,0.0,3,3,1.0,1,1,2,2,0,0,4,2,9,-8,0,1975-07-20T00:00:00
21996,951,29600064,1996-11-09,MIL @ CHH,W,29,4,10,0.4,1,3,0.333,0,0,0.0,0,0,0,0,1,0,0,3,9,5,0,1975-07-20T00:00:00
21996,951,29600083,1996-11-12,MIL vs. PHX,W,42,9,19,0.474,1,5,0.2,4,6,0.667,1,7,8,3,2,0,1,1,23,9,0,1975-07-20T00:00:00
21996,951,29600102,1996-11-14,MIL @ GSW,L,27,1,11,0.091,0,3,0.0,2,2,1.0,3,1,4,2,0,0,2,4,4,-18,0,1975-07-20T00:00:00
21996,951,29600113,1996-11-15,MIL @ SAC,L,26,3,5,0.6,0,0,0.0,3,4,0.75,0,3,3,2,0,0,0,0,9,2,0,1975-07-20T00:00:00
21996,951,29600127,1996-11-17,MIL @ LAC,L,33,9,19,0.474,3,6,0.5,2,3,0.667,4,3,7,2,1,1,4,2,23,-6,0,1975-07-20T00:00:00
21996,951,29600133,1996-11-19,MIL vs. DAL,W,16,2,8,0.25,1,4,0.25,3,4,0.75,1,0,1,3,0,0,2,3,8,-11,0,1975-07-20T00:00:00
21996,951,29600150,1996-11-21,MIL vs. ATL,L,38,6,13,0.462,1,5,0.2,0,0,0.0,2,5,7,3,0,0,2,2,13,-7,0,1975-07-20T00:00:00
21996,951,29600164,1996-11-23,MIL vs. WAS,L,16,2,7,0.286,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,0,4,-1,0,1975-07-20T00:00:00
21996,951,29600176,1996-11-25,MIL @ ORL,W,24,5,11,0.455,1,1,1.0,1,2,0.5,3,3,6,3,0,0,1,2,12,3,0,1975-07-20T00:00:00
21996,951,29600191,1996-11-27,MIL vs. CLE,W,19,4,7,0.571,1,3,0.333,2,3,0.667,1,1,2,0,1,0,0,4,11,22,0,1975-07-20T00:00:00
21996,951,29600214,1996-11-30,MIL vs. CHH,L,28,5,7,0.714,2,2,1.0,3,3,1.0,0,2,2,3,0,0,2,1,15,14,0,1975-07-20T00:00:00
21996,951,29600228,1996-12-03,MIL vs. CHI,L,29,3,9,0.333,0,2,0.0,2,2,1.0,3,2,5,3,1,0,1,5,8,13,0,1975-07-20T00:00:00
21996,951,29600259,1996-12-07,MIL @ WAS,W,29,4,11,0.364,0,3,0.0,4,4,1.0,3,3,6,3,0,0,1,3,12,10,0,1975-07-20T00:00:00
21996,951,29600268,1996-12-08,MIL vs. BOS,W,38,6,13,0.462,1,3,0.333,4,6,0.667,2,5,7,5,4,0,5,5,17,17,0,1975-07-20T00:00:00
21996,951,29600279,1996-12-10,MIL vs. DET,L,35,6,11,0.545,2,4,0.5,2,2,1.0,1,5,6,2,1,0,2,5,16,0,0,1975-07-20T00:00:00
21996,951,29600294,1996-12-12,MIL vs. SEA,W,24,4,9,0.444,0,3,0.0,9,12,0.75,0,1,1,2,2,0,0,3,17,12,0,1975-07-20T00:00:00
