SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22008,201566,20800010,2008-10-29,OKC vs. MIL,L,22,4,9,0.444,1,2,0.5,4,6,0.667,4,0,4,4,0,1,2,2,13,5,0,1988-11-12T00:00:00
22008,201566,20800035,2008-11-01,OKC @ HOU,L,19,2,7,0.286,0,1,0.0,2,2,1.0,0,2,2,3,1,0,2,2,6,-17,0,1988-11-12T00:00:00
22008,201566,20800041,2008-11-02,OKC vs. MIN,W,25,6,13,0.462,0,1,0.0,2,3,0.667,1,0,1,2,2,0,3,1,14,7,0,1988-11-12T00:00:00
22008,201566,20800059,2008-11-05,OKC vs. BOS,L,19,4,13,0.308,3,5,0.6,2,2,1.0,3,2,5,1,1,0,2,3,13,-3,0,1988-11-12T00:00:00
22008,201566,20800074,2008-11-07,OKC @ UTA,L,17,1,8,0.125,0,0,0.0,4,4,1.0,1,0,1,1,0,0,2,1,6,-5,0,1988-11-12T00:00:00
22008,201566,20800089,2008-11-09,OKC vs. ATL,L,25,6,14,0.429,0,2,0.0,3,3,1.0,1,0,1,2,2,0,3,0,15,7,0,1988-11-12T00:00:00
22008,201566,20800093,2008-11-10,OKC @ IND,L,26,1,10,0.1,1,3,0.333,3,4,0.75,0,2,2,4,2,1,3,4,6,6,0,1988-11-12T00:00:00
22008,201566,20800113,2008-11-12,OKC vs. ORL,L,30,3,19,0.158,0,2,0.0,7,8,0.875,5,0,5,4,0,1,3,3,13,-9,0,1988-11-12T00:00:00
22008,201566,20800124,2008-11-14,OKC @ NYK,L,28,6,12,0.5,1,4,0.25,6,7,0.857,5,5,10,6,1,1,3,5,19,1,0,1988-11-12T00:00:00
22008,201566,20800134,2008-11-15,OKC @ PHI,L,24,3,12,0.25,0,0,0.0,7,8,0.875,1,0,1,4,1,1,2,4,13,3,0,1988-11-12T00:00:00
22008,201566,20800146,2008-11-17,OKC vs. HOU,L,28,5,14,0.357,0,3,0.0,4,6,0.667,1,1,2,2,5,0,3,3,14,2,0,1988-11-12T00:00:00
22008,201566,20800165,2008-11-19,OKC vs. LAC,L,30,4,11,0.364,0,0,0.0,2,2,1.0,1,4,5,4,1,0,3,1,10,4,0,1988-11-12T00:00:00
22008,201566,20800180,2008-11-21,OKC vs. NOH,L,29,5,14,0.357,0,0,0.0,5,6,0.833,1,2,3,3,2,0,4,3,15,-6,0,1988-11-12T00:00:00
22008,201566,20800191,2008-11-22,OKC @ NOH,L,30,3,10,0.3,1,3,0.333,2,2,1.0,0,1,1,11,3,0,2,3,9,0,0,1988-11-12T00:00:00
22008,201566,20800207,2008-11-25,OKC vs. PHX,L,31,6,11,0.545,0,0,0.0,3,4,0.75,3,2,5,5,3,0,1,3,15,3,0,1988-11-12T00:00:00
22008,201566,20800211,2008-11-26,OKC @ CLE,L,29,4,14,0.286,0,0,0.0,5,8,0.625,2,2,4,5,5,0,1,2,13,-16,0,1988-11-12T00:00:00
22008,201566,20800230,2008-11-28,OKC vs. MIN,L,34,6,10,0.6,0,1,0.0,3,4,0.75,1,2,3,8,1,1,3,3,15,6,0,1988-11-12T00:00:00
22008,201566,20800240,2008-11-29,OKC @ MEM,W,38,5,11,0.455,0,0,0.0,2,3,0.667,5,0,5,4,2,0,2,1,12,13,0,1988-11-12T00:00:00
22008,201566,20800264,2008-12-03,OKC @ CHA,L,36,2,9,0.222,0,0,0.0,6,8,0.75,1,1,2,5,1,0,5,3,10,-11,0,1988-11-12T00:00:00
22008,201566,20800276,2008-12-05,OKC @ ORL,L,34,8,14,0.571,1,2,0.5,2,4,0.5,4,5,9,5,2,0,5,3,19,2,0,1988-11-12T00:00:00
22008,201566,20800288,2008-12-06,OKC @ MIA,L,32,10,18,0.556,0,1,0.0,10,12,0.833,3,4,7,2,2,0,3,3,30,-14,0,1988-11-12T00:00:00
22008,201566,20800303,2008-12-08,OKC vs. GSW,L,34,3,13,0.231,0,2,0.0,0,0,0.0,5,3,8,7,2,0,6,3,6,-2,0,1988-11-12T00:00:00
22008,201566,20800317,2008-12-10,OKC vs. MEM,L,33,5,10,0.5,1,2,0.5,4,4,1.0,0,3,3,6,2,0,0,4,15,-14,0,1988-11-12T00:00:00
22008,201566,20800341,2008-12-13,OKC @ DAL,L,35,7,14,0.5,0,0,0.0,5,5,1.0,6,2,8,6,0,0,3,1,19,3,0,1988-11-12T00:00:00
22008,201566,20800349,2008-12-14,OKC @ SAS,L,19,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,2,1,0,2,4,2,-8,0,1988-11-12T00:00:00
22008,201566,20800362,2008-12-16,OKC vs. LAC,L,33,4,11,0.364,0,0,0.0,3,4,0.75,5,2,7,2,2,0,4,1,11,-7,0,1988-11-12T00:00:00
22008,201566,20800386,2008-12-19,OKC vs. TOR,W,31,7,12,0.583,0,1,0.0,5,7,0.714,0,4,4,8,1,0,5,0,19,17,0,1988-11-12T00:00:00
22008,201566,20800402,2008-12-21,OKC vs. CLE,L,40,7,16,0.438,2,3,0.667,8,9,0.889,2,4,6,11,0,0,5,2,24,3,0,1988-11-12T00:00:00
22008,201566,20800409,2008-12-23,OKC @ ATL,L,38,5,14,0.357,0,0,0.0,1,2,0.5,2,1,3,6,1,0,3,4,11,-15,0,1988-11-12T00:00:00
22008,201566,20800429,2008-12-26,OKC @ DET,L,33,6,13,0.462,0,0,0.0,2,4,0.5,2,3,5,4,0,0,5,1,14,6,0,1988-11-12T00:00:00
22008,201566,20800438,2008-12-27,OKC @ WAS,L,31,3,10,0.3,0,1,0.0,4,4,1.0,4,1,5,5,1,1,5,0,10,-3,0,1988-11-12T00:00:00
22008,201566,20800454,2008-12-29,OKC vs. PHX,L,37,12,16,0.75,3,4,0.75,4,7,0.571,0,3,3,5,0,0,6,2,31,-6,0,1988-11-12T00:00:00
22008,201566,20800471,2008-12-31,OKC vs. GSW,W,31,5,11,0.455,1,3,0.333,0,0,0.0,2,4,6,2,5,0,3,2,11,2,0,1988-11-12T00:00:00
22008,201566,20800482,2009-01-02,OKC vs. DEN,L,29,5,7,0.714,0,1,0.0,4,7,0.571,2,0,2,5,0,0,1,2,14,-16,0,1988-11-12T00:00:00
22008,201566,20800510,2009-01-06,OKC vs. NYK,W,42,6,13,0.462,1,3,0.333,9,11,0.818,1,5,6,9,1,1,4,4,22,11,0,1988-11-12T00:00:00
22008,201566,20800520,2009-01-07,OKC @ MIN,L,30,5,10,0.5,0,1,0.0,6,8,0.75,0,1,1,12,0,0,2,1,16,-25,0,1988-11-12T00:00:00
