SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21992,406,29200011,1992-11-06,ORL vs. MIA,W,32,4,8,0.5,0,0,0.0,4,7,0.571,5,13,18,2,1,3,8,6,12,,0,1972-03-06T00:00:00
21992,406,29200015,1992-11-07,ORL @ WAS,W,40,8,16,0.5,0,0,0.0,6,11,0.545,5,10,15,1,0,4,4,5,22,,0,1972-03-06T00:00:00
21992,406,29200028,1992-11-10,ORL vs. CHH,L,34,15,25,0.6,0,0,0.0,5,8,0.625,4,9,13,1,1,3,4,4,35,,0,1972-03-06T00:00:00
21992,406,29200049,1992-11-12,ORL vs. WAS,W,36,12,19,0.632,0,0,0.0,7,12,0.583,9,12,21,1,0,4,6,4,31,,0,1972-03-06T00:00:00
21992,406,29200064,1992-11-14,ORL @ NJN,L,35,9,16,0.563,0,0,0.0,11,16,0.688,5,10,15,1,1,3,2,4,29,,0,1972-03-06T00:00:00
21992,406,29200085,1992-11-18,ORL @ PHL,W,34,12,19,0.632,0,0,0.0,5,11,0.455,7,12,19,1,1,3,3,5,29,,0,1972-03-06T00:00:00
21992,406,29200088,1992-11-19,ORL vs. GOS,W,41,8,15,0.533,0,0,0.0,13,18,0.722,5,11,16,3,2,3,4,3,29,,0,1972-03-06T00:00:00
21992,406,29200110,1992-11-21,ORL @ NYK,L,44,7,18,0.389,0,0,0.0,4,11,0.364,3,14,17,2,1,3,7,4,18,,0,1972-03-06T00:00:00
21992,406,29200125,1992-11-25,ORL vs. HOU,W,42,6,12,0.5,0,0,0.0,0,0,0.0,1,12,13,2,1,3,2,3,12,,0,1972-03-06T00:00:00
21992,406,29200145,1992-11-27,ORL @ IND,W,30,7,10,0.7,0,0,0.0,7,13,0.538,3,8,11,1,1,4,4,4,21,,0,1972-03-06T00:00:00
21992,406,29200151,1992-11-28,ORL vs. CLE,W,40,10,19,0.526,0,0,0.0,2,6,0.333,7,7,14,1,0,3,7,3,22,,0,1972-03-06T00:00:00
21992,406,29200164,1992-12-01,ORL @ SEA,L,36,4,11,0.364,0,0,0.0,1,7,0.143,4,7,11,1,0,4,4,4,9,,0,1972-03-06T00:00:00
21992,406,29200180,1992-12-03,ORL @ LAC,L,34,10,22,0.455,0,0,0.0,6,9,0.667,4,5,9,2,5,4,3,5,26,,0,1972-03-06T00:00:00
21992,406,29200193,1992-12-05,ORL @ GOS,L,37,5,18,0.278,0,0,0.0,7,12,0.583,7,10,17,0,0,6,1,5,17,,0,1972-03-06T00:00:00
21992,406,29200215,1992-12-08,ORL vs. BOS,L,44,10,19,0.526,0,0,0.0,6,11,0.545,4,11,15,4,1,4,3,2,26,,0,1972-03-06T00:00:00
21992,406,29200221,1992-12-09,ORL @ DET,L,41,7,16,0.438,0,0,0.0,3,10,0.3,4,7,11,0,0,5,3,6,17,,0,1972-03-06T00:00:00
21992,406,29200233,1992-12-11,ORL vs. PHX,L,38,10,18,0.556,0,0,0.0,6,10,0.6,6,11,17,0,2,4,5,3,26,,0,1972-03-06T00:00:00
21992,406,29200255,1992-12-15,ORL vs. PHL,W,29,6,9,0.667,0,0,0.0,8,11,0.727,3,11,14,1,0,6,5,4,20,,0,1972-03-06T00:00:00
21992,406,29200271,1992-12-17,ORL vs. SAC,W,37,9,14,0.643,0,0,0.0,4,7,0.571,6,14,20,2,0,7,5,4,22,,0,1972-03-06T00:00:00
21992,406,29200287,1992-12-19,ORL @ ATL,W,34,7,11,0.636,0,0,0.0,1,1,1.0,1,4,5,5,1,5,3,3,15,,0,1972-03-06T00:00:00
21992,406,29200304,1992-12-22,ORL vs. UTH,W,42,12,18,0.667,0,0,0.0,4,10,0.4,5,14,19,3,0,5,5,4,28,,0,1972-03-06T00:00:00
21992,406,29200322,1992-12-26,ORL @ MIA,L,36,6,15,0.4,0,1,0.0,6,9,0.667,3,8,11,2,0,3,3,5,18,,0,1972-03-06T00:00:00
21992,406,29200334,1992-12-28,ORL vs. MIL,W,38,9,15,0.6,0,0,0.0,3,4,0.75,6,8,14,2,1,5,3,3,21,,0,1972-03-06T00:00:00
21992,406,29200351,1992-12-30,ORL vs. LAL,L,44,7,11,0.636,0,0,0.0,9,11,0.818,7,16,23,2,0,0,7,3,23,,0,1972-03-06T00:00:00
21992,406,29200360,1993-01-02,ORL vs. DET,L,44,11,22,0.5,0,0,0.0,7,12,0.583,5,10,15,1,1,3,7,3,29,,0,1972-03-06T00:00:00
21992,406,29200374,1993-01-05,ORL vs. NJN,L,38,12,19,0.632,0,0,0.0,5,11,0.455,6,6,12,0,0,5,1,6,29,,0,1972-03-06T00:00:00
21992,406,29200399,1993-01-08,ORL vs. NYK,W,34,10,17,0.588,0,0,0.0,2,4,0.5,1,12,13,3,0,5,1,5,22,,0,1972-03-06T00:00:00
21992,406,29200409,1993-01-09,ORL vs. IND,L,44,11,20,0.55,0,0,0.0,8,13,0.615,5,15,20,0,0,8,2,3,30,,0,1972-03-06T00:00:00
21992,406,29200425,1993-01-12,ORL vs. CHI,L,41,8,10,0.8,0,0,0.0,3,8,0.375,6,5,11,5,0,0,8,2,19,,0,1972-03-06T00:00:00
21992,406,29200449,1993-01-15,ORL @ BOS,W,40,7,15,0.467,0,1,0.0,8,9,0.889,1,11,12,2,0,4,2,3,22,,0,1972-03-06T00:00:00
21992,406,29200453,1993-01-16,ORL @ CHI,W,50,11,18,0.611,0,0,0.0,7,12,0.583,9,15,24,2,1,5,6,2,29,,0,1972-03-06T00:00:00
21992,406,29200464,1993-01-18,ORL @ PHL,L,48,16,24,0.667,0,0,0.0,6,7,0.857,8,8,16,3,2,8,9,5,38,,0,1972-03-06T00:00:00
21992,406,29200491,1993-01-22,ORL vs. MIA,L,24,6,8,0.75,0,0,0.0,3,6,0.5,4,7,11,0,3,5,2,5,15,,0,1972-03-06T00:00:00
21992,406,29200503,1993-01-23,ORL vs. DAL,W,40,14,16,0.875,0,0,0.0,10,14,0.714,4,9,13,2,0,7,3,0,38,,0,1972-03-06T00:00:00
21992,406,29200518,1993-01-26,ORL vs. ATL,W,32,10,18,0.556,0,0,0.0,6,9,0.667,5,7,12,3,1,2,2,5,26,,0,1972-03-06T00:00:00
21992,406,29200534,1993-01-28,ORL @ CLE,L,34,9,13,0.692,0,0,0.0,7,10,0.7,2,5,7,0,0,1,1,5,25,,0,1972-03-06T00:00:00
21992,406,29200539,1993-01-29,ORL vs. BOS,L,40,10,13,0.769,0,0,0.0,6,7,0.857,3,10,13,2,0,2,6,6,26,,0,1972-03-06T00:00:00
21992,406,29200556,1993-02-01,ORL @ SAC,W,36,5,13,0.385,0,0,0.0,8,15,0.533,2,4,6,1,0,4,2,6,18,,0,1972-03-06T00:00:00
21992,406,29200560,1993-02-02,ORL @ LAL,W,32,13,17,0.765,0,0,0.0,5,9,0.556,3,11,14,1,1,2,1,5,31,,0,1972-03-06T00:00:00
21992,406,29200579,1993-02-05,ORL @ POR,W,39,10,15,0.667,0,0,0.0,2,4,0.5,3,8,11,3,0,3,6,4,22,,0,1972-03-06T00:00:00
21992,406,29200598,1993-02-07,ORL @ PHX,L,29,9,14,0.643,0,0,0.0,2,3,0.667,2,3,5,1,1,2,5,6,20,,0,1972-03-06T00:00:00
21992,406,29200603,1993-02-08,ORL @ UTH,L,38,8,17,0.471,0,0,0.0,6,8,0.75,4,7,11,1,2,4,4,4,22,,0,1972-03-06T00:00:00
