SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
22009,201939,20900015,2009-10-28,GSW vs. HOU,L,36,7,12,0.583,0,1,0.0,0,0,0.0,1,1,2,7,4,0,2,2,14,7,0,1988-03-14T00:00:00
22009,201939,20900030,2009-10-30,GSW @ PHX,L,39,5,9,0.556,2,3,0.667,0,0,0.0,0,2,2,4,1,0,3,5,12,-19,0,1988-03-14T00:00:00
22009,201939,20900069,2009-11-04,GSW vs. MEM,W,28,3,6,0.5,1,2,0.5,0,0,0.0,0,5,5,9,2,0,1,4,7,-4,0,1988-03-14T00:00:00
22009,201939,20900082,2009-11-06,GSW vs. LAC,L,22,1,5,0.2,0,1,0.0,3,4,0.75,0,1,1,3,0,0,0,6,5,-13,0,1988-03-14T00:00:00
22009,201939,20900096,2009-11-08,GSW @ SAC,L,31,4,8,0.5,1,2,0.5,0,2,0.0,1,3,4,6,0,0,5,4,9,-5,0,1988-03-14T00:00:00
22009,201939,20900101,2009-11-09,GSW vs. MIN,W,30,2,8,0.25,1,2,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,28,0,1988-03-14T00:00:00
22009,201939,20900109,2009-11-11,GSW @ IND,L,21,3,7,0.429,0,2,0.0,0,0,0.0,0,1,1,4,1,0,3,2,6,-13,0,1988-03-14T00:00:00
22009,201939,20900126,2009-11-13,GSW @ NYK,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,3,0,1988-03-14T00:00:00
22009,201939,20900141,2009-11-14,GSW @ MIL,L,26,6,9,0.667,2,2,1.0,0,0,0.0,1,3,4,2,2,1,1,5,14,2,0,1988-03-14T00:00:00
22009,201939,20900150,2009-11-17,GSW @ CLE,L,41,6,10,0.6,2,6,0.333,0,1,0.0,0,5,5,7,0,0,3,2,14,-4,0,1988-03-14T00:00:00
22009,201939,20900163,2009-11-18,GSW @ BOS,L,35,4,10,0.4,1,4,0.25,4,4,1.0,0,0,0,7,4,0,6,3,13,5,0,1988-03-14T00:00:00
22009,201939,20900181,2009-11-20,GSW vs. POR,W,46,3,9,0.333,2,3,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,18,0,1988-03-14T00:00:00
22009,201939,20900204,2009-11-24,GSW @ DAL,W,35,6,12,0.5,2,4,0.5,4,4,1.0,1,3,4,6,3,0,4,5,18,16,0,1988-03-14T00:00:00
22009,201939,20900216,2009-11-25,GSW @ SAS,L,34,5,16,0.313,1,4,0.25,0,0,0.0,1,6,7,5,1,2,6,3,11,-7,0,1988-03-14T00:00:00
22009,201939,20900238,2009-11-28,GSW vs. LAL,L,36,5,15,0.333,1,5,0.2,2,2,1.0,1,3,4,8,0,0,1,0,13,-23,0,1988-03-14T00:00:00
22009,201939,20900252,2009-11-30,GSW vs. IND,W,20,2,5,0.4,1,2,0.5,2,2,1.0,0,2,2,4,3,0,2,2,7,-7,0,1988-03-14T00:00:00
22009,201939,20900256,2009-12-01,GSW @ DEN,L,41,4,14,0.286,2,6,0.333,0,0,0.0,1,3,4,6,2,2,1,2,10,-14,0,1988-03-14T00:00:00
22009,201939,20900271,2009-12-03,GSW vs. HOU,L,32,4,8,0.5,1,3,0.333,2,2,1.0,1,4,5,2,2,1,4,3,11,-3,0,1988-03-14T00:00:00
22009,201939,20900289,2009-12-05,GSW vs. ORL,L,46,6,12,0.5,0,2,0.0,1,1,1.0,0,3,3,3,1,0,3,4,13,-8,0,1988-03-14T00:00:00
22009,201939,20900298,2009-12-07,GSW @ OKC,L,36,9,14,0.643,2,4,0.5,2,2,1.0,0,4,4,2,4,0,5,5,22,-17,0,1988-03-14T00:00:00
22009,201939,20900311,2009-12-09,GSW @ NJN,W,30,6,13,0.462,1,4,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,7,0,1988-03-14T00:00:00
22009,201939,20900324,2009-12-11,GSW @ CHI,L,27,3,9,0.333,0,3,0.0,0,0,0.0,0,3,3,1,1,0,0,0,6,-8,0,1988-03-14T00:00:00
22009,201939,20900332,2009-12-12,GSW @ DET,L,38,5,10,0.5,3,4,0.75,6,6,1.0,0,2,2,4,4,1,4,4,19,-11,0,1988-03-14T00:00:00
22009,201939,20900345,2009-12-14,GSW @ PHI,L,36,5,13,0.385,1,4,0.25,3,4,0.75,0,4,4,4,4,1,4,5,14,-14,0,1988-03-14T00:00:00
22009,201939,20900369,2009-12-16,GSW vs. SAS,L,25,4,11,0.364,0,2,0.0,0,0,0.0,1,3,4,3,4,0,1,5,8,-12,0,1988-03-14T00:00:00
22009,201939,20900383,2009-12-18,GSW vs. WAS,L,46,9,17,0.529,5,9,0.556,4,4,1.0,1,7,8,4,3,0,2,4,27,-10,0,1988-03-14T00:00:00
22009,201939,20900409,2009-12-22,GSW @ MEM,L,41,6,15,0.4,2,6,0.333,0,0,0.0,1,6,7,8,0,0,4,2,14,-3,0,1988-03-14T00:00:00
22009,201939,20900419,2009-12-23,GSW @ NOH,L,47,6,13,0.462,3,5,0.6,2,2,1.0,0,10,10,7,2,0,2,5,17,-1,0,1988-03-14T00:00:00
22009,201939,20900438,2009-12-26,GSW vs. PHX,W,27,4,10,0.4,3,4,0.75,2,2,1.0,1,2,3,4,3,0,1,4,13,6,0,1988-03-14T00:00:00
