SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21997,1495,29700010,1997-10-31,SAS @ DEN,W,36,6,9,0.667,0,0,0.0,3,5,0.6,1,9,10,2,0,2,4,2,15,-1,0,1976-04-25T00:00:00
21997,1495,29700021,1997-11-01,SAS vs. CLE,W,23,4,7,0.571,0,0,0.0,1,2,0.5,1,4,5,4,1,2,4,5,9,10,0,1976-04-25T00:00:00
21997,1495,29700030,1997-11-03,SAS @ CHI,L,47,8,14,0.571,0,1,0.0,3,6,0.5,6,16,22,0,0,1,4,4,19,1,0,1976-04-25T00:00:00
21997,1495,29700049,1997-11-05,SAS vs. VAN,W,35,9,16,0.563,0,0,0.0,1,5,0.2,2,7,9,3,0,4,2,2,19,10,0,1976-04-25T00:00:00
21997,1495,29700072,1997-11-08,SAS vs. UTA,W,37,3,10,0.3,0,0,0.0,2,4,0.5,5,8,13,2,0,4,3,6,8,4,0,1976-04-25T00:00:00
21997,1495,29700079,1997-11-10,SAS @ TOR,W,34,7,9,0.778,0,0,0.0,1,4,0.25,2,6,8,3,1,4,5,3,15,-2,0,1976-04-25T00:00:00
21997,1495,29700085,1997-11-11,SAS @ MIN,W,35,9,13,0.692,0,0,0.0,4,6,0.667,3,6,9,1,0,1,3,4,22,-3,0,1976-04-25T00:00:00
21997,1495,29700100,1997-11-13,SAS vs. LAL,L,39,9,17,0.529,0,1,0.0,1,2,0.5,3,10,13,4,0,3,4,3,19,1,0,1976-04-25T00:00:00
21997,1495,29700120,1997-11-15,SAS vs. MIN,L,41,5,8,0.625,0,0,0.0,5,10,0.5,2,15,17,0,0,1,1,4,15,-2,0,1976-04-25T00:00:00
21997,1495,29700143,1997-11-19,SAS vs. GSW,W,36,9,14,0.643,0,0,0.0,1,5,0.2,1,9,10,2,0,3,2,2,19,14,0,1976-04-25T00:00:00
