GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2005-10-05,2,0,2,CBJ
2005-10-07,0,1,1,ATL
2005-10-08,0,1,1,ATL
2005-10-10,1,0,1,NYR
2005-10-12,1,0,1,CAR
2005-10-13,0,1,1,NYI
2005-10-16,0,1,1,TBL
2005-10-20,2,0,2,FLA
2005-10-22,0,0,0,CAR
2005-10-26,0,1,1,BUF
2005-10-28,2,0,2,TBL
2005-11-03,0,0,0,PHI
2005-11-04,0,0,0,ATL
2005-11-06,2,0,2,TOR
2005-11-08,2,0,2,TOR
2005-11-11,1,0,1,NJD
2005-11-12,0,0,0,NJD
2005-11-15,1,0,1,TBL
2005-11-17,1,1,2,BUF
2005-11-19,0,0,0,MTL
2005-11-22,0,1,1,PIT
2005-11-23,0,1,1,TBL
2005-11-26,0,1,1,NYR
2005-11-27,0,1,1,BUF
2005-12-01,0,0,0,FLA
2005-12-03,1,3,4,NYR
2005-12-07,1,0,1,NSH
2005-12-09,1,1,2,DET
2005-12-14,0,2,2,LAK
2005-12-16,0,0,0,SJS
2005-12-18,0,0,0,FLA
2005-12-22,1,3,4,ATL
2005-12-23,1,0,1,MTL
2005-12-27,1,1,2,BOS
2005-12-28,1,0,1,NJD
2005-12-31,1,1,2,PHI
2006-01-01,1,1,2,ATL
2006-01-04,0,0,0,OTT
2006-01-06,1,0,1,PHI
2006-01-08,0,2,2,FLA
2006-01-10,1,1,2,CHI
2006-01-12,1,0,1,DAL
2006-01-13,3,0,3,ANA
2006-01-16,2,1,3,PHX
2006-01-19,1,1,2,STL
2006-01-21,0,2,2,CAR
2006-01-23,0,0,0,BOS
2006-01-25,1,0,1,PIT
2006-01-26,0,1,1,BOS
2006-01-29,0,1,1,TBL
2006-02-03,0,1,1,TOR
2006-02-04,0,0,0,TBL
2006-02-07,0,0,0,FLA
2006-02-10,1,1,2,PHI
2006-02-11,1,0,1,PIT
2006-02-28,1,0,1,TOR
2006-03-02,1,0,1,OTT
2006-03-04,1,1,2,ATL
2006-03-06,2,1,3,NYI
2006-03-08,1,2,3,PIT
2006-03-10,0,0,0,NJD
2006-03-12,0,0,0,OTT
2006-03-14,1,2,3,BUF
2006-03-16,0,0,0,NYR
2006-03-18,0,2,2,FLA
2006-03-20,1,0,1,MTL
2006-03-22,0,1,1,FLA
2006-03-23,2,1,3,TBL
2006-03-25,1,1,2,CAR
2006-03-29,1,0,1,CAR
2006-03-30,0,2,2,MTL
2006-04-01,0,1,1,OTT
2006-04-03,0,1,1,CAR
2006-04-05,0,2,2,CAR
2006-04-07,0,1,1,CAR
2006-04-08,0,0,0,NYI
2006-04-10,1,0,1,BOS
2006-04-13,1,1,2,ATL
2006-04-15,1,0,1,FLA
2006-04-17,1,1,2,ATL
2006-04-18,0,1,1,TBL
2006-10-05,0,0,0,NYR
2006-10-07,2,0,2,CAR
2006-10-12,0,1,1,MIN
2006-10-14,0,1,1,ATL
2006-10-18,0,0,0,FLA
2006-10-19,1,1,2,ATL
2006-10-21,1,0,1,TBL
2006-10-25,1,0,1,COL
2006-10-27,1,1,2,VAN
2006-10-28,0,0,0,EDM
2006-10-30,0,2,2,CGY
2006-11-03,0,2,2,ATL
2006-11-04,2,0,2,PHI
2006-11-06,2,0,2,OTT
2006-11-09,0,0,0,CAR
2006-11-11,1,0,1,NYR
2006-11-13,1,1,2,FLA
2006-11-15,0,1,1,BOS
2006-11-17,0,0,0,CAR
2006-11-18,1,0,1,BOS
2006-11-22,0,0,0,ATL
2006-11-24,1,0,1,TOR
2006-11-25,1,0,1,NYI
2006-11-28,1,1,2,TBL
2006-11-30,0,0,0,DAL
2006-12-02,1,0,1,BUF
2006-12-06,0,3,3,OTT
2006-12-08,0,1,1,ANA
2006-12-09,1,2,3,PHI
2006-12-11,0,2,2,PIT
2006-12-15,3,0,3,ATL
2006-12-16,1,2,3,PHI
2006-12-19,1,1,2,TBL
2006-12-22,0,0,0,NJD
2006-12-23,1,1,2,TOR
2006-12-26,1,0,1,BUF
2006-12-27,0,1,1,MTL
2006-12-29,0,1,1,NJD
2006-12-30,0,0,0,NYR
2007-01-01,0,1,1,PHX
2007-01-04,0,3,3,MTL
2007-01-06,1,1,2,ATL
2007-01-09,2,1,3,PHI
2007-01-11,0,2,2,TBL
2007-01-13,0,1,1,FLA
2007-01-16,0,1,1,OTT
2007-01-18,1,0,1,CAR
2007-01-20,0,1,1,FLA
2007-01-26,1,0,1,CAR
2007-01-27,1,1,2,CAR
2007-01-30,1,0,1,OTT
2007-02-01,1,0,1,FLA
2007-02-03,0,0,0,PIT
2007-02-04,0,0,0,NYI
2007-02-06,0,0,0,BOS
2007-02-08,0,1,1,LAK
2007-02-10,1,0,1,NYR
2007-02-15,0,0,0,TBL
2007-02-18,0,0,0,PIT
2007-02-20,0,0,0,MTL
2007-02-21,0,0,0,SJS
2007-02-24,0,1,1,NJD
2007-02-25,1,0,1,NJD
2007-02-27,2,2,4,FLA
2007-03-01,1,1,2,TBL
2007-03-03,0,0,0,NYI
2007-03-06,0,0,0,TOR
2007-03-09,0,0,0,CAR
2007-03-10,1,0,1,NYI
2007-03-12,2,0,2,ATL
2007-03-15,0,1,1,BOS
2007-03-16,0,0,0,TOR
2007-03-18,0,0,0,TBL
2007-03-21,0,0,0,BUF
2007-03-22,2,0,2,CAR
2007-03-24,0,0,0,MTL
2007-03-27,0,1,1,PIT
2007-03-30,0,2,2,FLA
2007-03-31,0,0,0,TBL
2007-04-03,1,0,1,FLA
2007-04-04,2,0,2,ATL
2007-04-07,0,0,0,BUF
2007-10-05,0,1,1,ATL
2007-10-06,1,0,1,CAR
2007-10-08,0,1,1,NYI
2007-10-12,1,0,1,NYR
2007-10-13,1,0,1,BUF
2007-10-18,1,0,1,NYI
2007-10-20,0,0,0,PIT
2007-10-24,1,2,3,TBL
2007-10-26,1,1,2,VAN
2007-10-27,0,2,2,STL
2007-10-29,2,0,2,TOR
2007-11-01,0,0,0,NYR
2007-11-02,1,0,1,PHI
2007-11-05,0,0,0,CAR
2007-11-06,0,0,0,ATL
2007-11-08,1,1,2,OTT
2007-11-10,1,0,1,TBL
2007-11-15,1,0,1,FLA
2007-11-16,1,0,1,TBL
2007-11-19,0,1,1,FLA
2007-11-21,1,0,1,ATL
2007-11-23,0,1,1,PHI
2007-11-24,2,0,2,CAR
2007-11-26,1,0,1,BUF
2007-11-28,0,0,0,FLA
2007-11-30,2,1,3,CAR
2007-12-01,1,1,2,FLA
2007-12-07,0,1,1,NJD
2007-12-08,1,1,2,ATL
2007-12-10,0,1,1,NJD
2007-12-12,1,0,1,NYR
2007-12-14,1,0,1,BUF
2007-12-15,0,0,0,TBL
2007-12-17,1,0,1,DET
2007-12-20,0,1,1,MTL
2007-12-22,1,0,1,NYI
2007-12-26,0,1,1,TBL
2007-12-27,1,0,1,PIT
2007-12-29,4,1,5,OTT
2008-01-01,0,2,2,OTT
2008-01-03,0,0,0,BOS
2008-01-05,2,0,2,MTL
2008-01-09,0,0,0,COL
2008-01-13,1,1,2,PHI
2008-01-15,1,0,1,OTT
2008-01-17,1,1,2,EDM
2008-01-19,1,1,2,FLA
