GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2016-10-12,4,0,4,OTT
2016-10-15,0,0,0,BOS
2016-10-19,0,1,1,WPG
2016-10-20,1,0,1,MIN
2016-10-22,0,2,2,CHI
2016-10-25,1,1,2,TBL
2016-10-27,0,0,0,FLA
2016-10-29,0,0,0,MTL
2016-10-30,0,0,0,NYI
2016-11-01,0,0,0,EDM
2016-11-03,0,0,0,BUF
2016-11-05,0,1,1,VAN
2016-11-08,0,0,0,LAK
2016-11-11,0,1,1,PHI
2016-11-12,0,0,0,PIT
2016-11-15,0,0,0,NSH
2016-11-17,0,0,0,FLA
2016-11-19,0,1,1,MTL
2016-11-22,0,0,0,CAR
2016-11-23,2,1,3,NJD
2016-11-26,1,0,1,WSH
2016-11-29,1,0,1,EDM
2016-11-30,0,0,0,CGY
2016-12-03,1,0,1,VAN
2016-12-07,0,0,0,MIN
2016-12-10,1,0,1,BOS
2016-12-11,0,0,0,COL
2016-12-13,1,1,2,SJS
2016-12-15,1,0,1,ARI
2016-12-17,0,0,0,PIT
2016-12-19,1,0,1,ANA
2016-12-22,1,0,1,COL
2016-12-23,0,1,1,ARI
2016-12-28,1,1,2,FLA
2016-12-29,1,1,2,TBL
2017-01-01,2,0,2,DET
2017-01-03,0,2,2,WSH
2017-01-06,1,0,1,NJD
2017-01-07,0,0,0,MTL
2017-01-13,0,1,1,NYR
2017-01-14,0,1,1,OTT
2017-01-17,1,0,1,BUF
2017-01-19,0,0,0,NYR
2017-01-21,0,0,0,OTT
2017-01-23,0,0,0,CGY
2017-01-25,1,0,1,DET
2017-01-26,0,0,0,PHI
2017-01-31,0,0,0,DAL
2017-02-02,0,0,0,STL
2017-02-04,0,3,3,BOS
2017-02-06,1,0,1,NYI
2017-02-07,1,0,1,DAL
2017-02-09,0,0,0,STL
2017-02-11,0,0,0,BUF
2017-02-14,2,0,2,NYI
2017-02-15,0,0,0,CBJ
2017-02-18,0,2,2,OTT
2017-02-19,1,0,1,CAR
2017-02-21,0,3,3,WPG
2017-02-23,0,0,0,NYR
2017-02-25,2,0,2,MTL
2017-02-28,1,0,1,SJS
2017-03-02,0,0,0,LAK
2017-03-03,0,0,0,ANA
2017-03-07,0,0,0,DET
2017-03-09,0,0,0,PHI
2017-03-11,0,0,0,CAR
2017-03-14,0,0,0,FLA
2017-03-16,0,0,0,TBL
2017-03-18,1,0,1,CHI
2017-03-20,0,1,1,BOS
2017-03-22,1,0,1,CBJ
2017-03-23,0,2,2,NJD
2017-03-25,1,0,1,BUF
2017-03-28,1,0,1,FLA
2017-03-30,1,0,1,NSH
2017-04-01,2,1,3,DET
2017-04-03,1,0,1,BUF
2017-04-04,0,0,0,WSH
2017-04-06,0,0,0,TBL
2017-04-08,1,1,2,PIT
2017-04-09,0,0,0,CBJ
2017-10-04,1,2,3,WPG
2017-10-07,0,1,1,NYR
2017-10-09,1,0,1,CHI
2017-10-11,1,0,1,NJD
2017-10-14,2,0,2,MTL
2017-10-17,0,0,0,WSH
2017-10-18,1,1,2,DET
2017-10-21,1,1,2,OTT
2017-10-23,0,0,0,LAK
2017-10-26,1,1,2,CAR
2017-10-28,0,1,1,PHI
2017-10-30,1,0,1,SJS
2017-11-01,0,0,0,ANA
2017-11-02,1,1,2,LAK
2017-11-04,0,0,0,STL
2017-11-06,0,1,1,VGK
2017-11-18,2,0,2,MTL
2017-11-20,0,0,0,ARI
2017-11-22,0,0,0,FLA
2017-11-24,0,1,1,CAR
2017-11-25,0,1,1,WSH
2017-11-28,0,1,1,CGY
2017-11-30,1,1,2,EDM
2017-12-02,0,0,0,VAN
2017-12-06,0,0,0,CGY
2017-12-09,0,0,0,PIT
2017-12-23,1,1,2,NYR
2017-12-28,1,0,1,ARI
2017-12-29,0,0,0,COL
2017-12-31,2,0,2,VGK
2018-01-02,0,0,0,TBL
2018-01-04,1,0,1,SJS
2018-01-06,1,0,1,VAN
2018-01-08,0,0,0,CBJ
2018-01-10,0,0,0,OTT
2018-01-16,0,0,0,STL
