GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2015-10-08,0,0,0,STL
2015-10-10,0,0,0,NSH
2015-10-13,1,0,1,DAL
2015-10-15,0,0,0,STL
2015-10-17,2,1,3,CGY
2015-10-18,0,1,1,VAN
2015-10-21,1,0,1,DET
2015-10-23,1,1,2,WSH
2015-10-25,0,1,1,LAK
2015-10-27,0,1,1,MIN
2015-10-29,0,2,2,MTL
2015-10-31,0,0,0,CGY
2015-11-03,0,0,0,PHI
2016-02-02,1,2,3,CBJ
2016-02-04,0,2,2,OTT
2016-02-06,0,0,0,MTL
2016-02-07,1,0,1,NYI
2016-02-09,0,1,1,NJD
2016-02-11,2,3,5,TOR
2016-02-13,0,0,0,WPG
2016-02-16,0,1,1,ANA
2016-02-18,1,0,1,MIN
2016-02-20,0,1,1,COL
2016-02-23,0,1,1,OTT
2016-02-25,0,0,0,LAK
2016-02-26,0,0,0,ANA
2016-02-28,0,1,1,NYI
2016-03-01,2,0,2,BUF
2016-03-03,0,1,1,PHI
2016-03-04,1,1,2,CBJ
2016-03-06,0,0,0,WPG
2016-03-08,0,0,0,SJS
2016-03-10,1,0,1,MIN
2016-03-12,0,0,0,ARI
2016-03-14,0,1,1,NSH
2016-03-16,0,2,2,STL
2016-03-18,0,1,1,VAN
2016-03-20,0,1,1,COL
2016-03-22,0,2,2,ARI
2016-03-24,0,1,1,SJS
2016-03-26,1,1,2,LAK
2016-03-28,0,0,0,ANA
2016-04-02,0,0,0,CGY
2016-04-06,1,2,3,VAN
2016-04-09,0,0,0,VAN
2016-10-12,2,1,3,CGY
2016-10-14,1,2,3,CGY
2016-10-16,0,0,0,BUF
2016-10-18,0,0,0,CAR
2016-10-20,1,1,2,STL
2016-10-23,0,1,1,WPG
2016-10-26,0,2,2,WSH
2016-10-28,1,0,1,VAN
2016-10-30,0,0,0,OTT
2016-11-01,0,0,0,TOR
2016-11-03,0,1,1,NYR
2016-11-05,0,0,0,NYI
2016-11-06,0,1,1,DET
2016-11-08,0,3,3,PIT
2016-11-11,0,1,1,DAL
2016-11-13,0,1,1,NYR
2016-11-15,0,0,0,ANA
2016-11-17,0,0,0,LAK
2016-11-19,3,0,3,DAL
2016-11-21,0,2,2,CHI
2016-11-23,1,2,3,COL
2016-11-25,1,0,1,ARI
2016-11-27,0,1,1,ARI
