GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1946-10-16,1,0,1,TOR
1946-10-19,0,1,1,TOR
1946-10-20,0,0,0,NYR
1946-10-23,0,1,1,CHI
1946-10-26,0,0,0,MTL
1946-10-27,0,1,1,MTL
1946-11-02,0,0,0,NYR
1946-11-03,0,0,0,NYR
1946-11-06,0,1,1,BOS
1946-11-10,1,1,2,MTL
1946-11-13,0,0,0,BOS
1946-11-14,0,0,0,MTL
1946-11-17,0,1,1,CHI
1946-11-20,0,1,1,CHI
1946-11-21,0,0,0,NYR
1946-11-23,0,1,1,TOR
1946-11-24,0,0,0,TOR
1946-11-27,0,1,1,MTL
1946-11-30,0,0,0,MTL
1946-12-01,0,0,0,BOS
1946-12-04,0,0,0,CHI
1946-12-08,0,1,1,TOR
1946-12-11,0,0,0,NYR
1946-12-15,0,0,0,BOS
1946-12-18,0,0,0,CHI
1946-12-19,0,0,0,TOR
1946-12-22,0,0,0,MTL
1946-12-25,0,0,0,TOR
1946-12-28,0,0,0,NYR
1946-12-31,0,1,1,NYR
1947-01-01,1,0,1,TOR
1947-01-05,0,0,0,BOS
1947-01-08,0,0,0,MTL
1947-01-09,0,0,0,CHI
1947-01-12,0,0,0,BOS
1947-01-15,0,0,0,NYR
1947-01-18,0,0,0,TOR
1947-01-19,0,0,0,MTL
1947-01-23,1,0,1,CHI
1947-01-26,1,0,1,BOS
1947-01-29,0,0,0,BOS
1947-02-01,0,0,0,BOS
1947-02-08,1,0,1,MTL
1947-02-09,0,1,1,NYR
1947-02-15,0,1,1,CHI
1947-02-16,0,0,0,CHI
1947-02-20,0,1,1,BOS
1947-02-22,1,0,1,MTL
1947-02-23,0,0,0,NYR
1947-02-27,0,0,0,TOR
1947-03-06,0,0,0,MTL
1947-03-09,0,0,0,BOS
1947-03-12,0,0,0,NYR
1947-03-13,0,0,0,BOS
1947-03-15,0,0,0,CHI
1947-03-16,0,1,1,CHI
1947-03-19,0,0,0,NYR
1947-03-23,0,0,0,TOR
1947-10-15,0,1,1,CHI
1947-10-18,0,0,0,TOR
1947-10-19,0,1,1,TOR
1947-10-26,0,1,1,MTL
1947-10-29,0,0,0,CHI
1947-11-01,0,1,1,NYR
1947-11-02,0,0,0,BOS
1947-11-06,0,0,0,NYR
1947-11-08,1,0,1,MTL
1947-11-09,0,0,0,TOR
1947-11-15,0,1,1,TOR
1947-11-16,0,0,0,BOS
1947-11-19,0,1,1,NYR
1947-11-22,1,2,3,CHI
1947-11-23,0,0,0,CHI
1947-11-27,0,0,0,BOS
1947-11-30,0,0,0,MTL
1947-12-06,0,0,0,MTL
1947-12-07,0,0,0,NYR
1947-12-10,0,0,0,TOR
1947-12-13,0,2,2,CHI
1947-12-14,0,0,0,NYR
1947-12-17,0,4,4,CHI
1947-12-20,1,2,3,TOR
1947-12-21,0,0,0,BOS
1947-12-25,0,0,0,NYR
1947-12-28,0,0,0,BOS
1947-12-31,1,0,1,CHI
1948-01-01,0,0,0,CHI
1948-01-04,2,0,2,MTL
1948-01-07,0,1,1,NYR
1948-01-08,0,0,0,MTL
1948-01-10,1,0,1,BOS
1948-01-11,0,0,0,TOR
1948-01-14,0,0,0,BOS
1948-01-18,1,1,2,CHI
1948-01-21,0,2,2,NYR
1948-01-24,0,0,0,MTL
1948-01-25,0,0,0,MTL
1948-01-28,1,0,1,BOS
1948-01-31,0,1,1,TOR
1948-02-01,1,1,2,TOR
1948-02-03,0,0,0,CHI
1948-02-04,0,2,2,NYR
1948-02-07,0,0,0,MTL
1948-02-08,0,0,0,BOS
1948-02-15,0,0,0,BOS
1948-02-18,1,1,2,NYR
1948-02-21,0,0,0,TOR
1948-02-22,0,0,0,MTL
1948-02-28,1,0,1,MTL
1948-03-03,1,0,1,NYR
1948-03-06,1,1,2,MTL
1948-03-07,0,0,0,NYR
1948-03-09,0,1,1,CHI
1948-03-10,2,1,3,CHI
1948-03-14,0,0,0,BOS
1948-03-17,0,0,0,BOS
1948-03-20,0,0,0,TOR
1948-03-21,0,0,0,TOR
1948-10-13,0,1,1,CHI
1948-10-17,0,2,2,NYR
1948-10-23,0,0,0,MTL
1948-10-24,0,0,0,TOR
1948-10-27,0,1,1,NYR
1948-10-30,0,1,1,TOR
1948-10-31,1,0,1,MTL
1948-11-06,0,0,0,MTL
1948-11-07,0,1,1,BOS
1948-11-11,0,0,0,BOS
1948-11-14,0,0,0,CHI
1948-11-17,0,1,1,NYR
1948-11-21,0,0,0,MTL
1948-11-24,0,0,0,BOS
1948-11-27,0,0,0,CHI
1948-11-28,1,1,2,CHI
1948-12-01,0,1,1,TOR
1948-12-04,0,0,0,BOS
1949-01-23,1,1,2,TOR
1949-01-26,0,1,1,NYR
1949-01-29,0,0,0,MTL
1949-01-30,0,0,0,BOS
1949-02-02,0,2,2,CHI
1949-02-03,1,2,3,CHI
1949-02-06,0,0,0,MTL
1949-02-09,1,1,2,NYR
1949-02-12,1,0,1,TOR
1949-02-13,1,0,1,BOS
1949-02-16,0,0,0,NYR
1949-02-21,0,0,0,BOS
1949-02-26,0,0,0,MTL
1949-02-27,0,1,1,NYR
1949-03-02,0,0,0,BOS
1949-03-05,1,1,2,CHI
1949-03-06,2,1,3,CHI
1949-03-09,1,2,3,TOR
1949-03-13,0,1,1,BOS
1949-03-16,0,3,3,NYR
1949-03-19,1,0,1,TOR
1949-03-20,0,0,0,MTL
1949-10-12,0,0,0,BOS
1949-10-16,0,0,0,TOR
1949-10-19,1,2,3,NYR
1949-10-23,0,0,0,CHI
1949-10-27,1,1,2,CHI
1949-10-29,0,0,0,MTL
1949-10-30,0,0,0,MTL
1949-11-02,0,2,2,BOS
1949-11-05,0,1,1,TOR
1949-11-06,1,1,2,NYR
1949-11-12,2,1,3,BOS
1949-11-13,0,1,1,NYR
1949-11-16,2,0,2,CHI
1949-11-19,2,0,2,TOR
1949-11-20,0,0,0,TOR
1949-11-23,0,0,0,NYR
1949-11-24,0,1,1,CHI
1949-11-26,0,0,0,CHI
1949-11-27,0,0,0,MTL
1949-11-30,0,1,1,BOS
1949-12-01,0,0,0,TOR
1949-12-03,2,0,2,MTL
1949-12-04,0,1,1,TOR
1949-12-07,0,0,0,BOS
1949-12-10,0,0,0,NYR
1949-12-11,0,0,0,NYR
1949-12-14,0,2,2,BOS
1949-12-17,0,0,0,MTL
1949-12-18,0,0,0,CHI
1949-12-21,1,2,3,TOR
1949-12-25,1,0,1,MTL
1949-12-28,0,0,0,BOS
1949-12-31,1,0,1,TOR
1950-01-01,0,0,0,TOR
1950-01-04,0,1,1,NYR
1950-01-08,0,2,2,BOS
1950-01-11,0,0,0,BOS
1950-01-14,1,1,2,NYR
1950-01-15,0,0,0,NYR
1950-01-18,1,0,1,CHI
1950-01-21,0,1,1,CHI
1950-01-22,0,0,0,TOR
1950-01-25,1,0,1,BOS
1950-01-26,1,0,1,MTL
1950-01-28,0,0,0,MTL
1950-01-29,1,0,1,BOS
1950-02-01,0,0,0,MTL
1950-02-04,0,1,1,TOR
1950-02-05,1,0,1,NYR
1950-02-08,2,1,3,CHI
1950-02-11,3,2,5,BOS
1950-02-12,0,0,0,NYR
1950-02-15,0,0,0,CHI
1950-02-18,1,0,1,TOR
1950-02-20,1,0,1,MTL
1950-02-23,0,0,0,MTL
1950-02-26,1,1,2,CHI
1950-03-01,0,1,1,NYR
1950-03-04,0,0,0,TOR
1950-03-06,0,1,1,MTL
1950-03-08,0,2,2,BOS
1950-03-09,0,0,0,NYR
1950-03-11,1,1,2,CHI
1950-03-12,0,0,0,CHI
1950-03-15,1,0,1,MTL
1950-03-16,1,0,1,MTL
1950-03-18,0,0,0,BOS
1950-03-19,3,1,4,TOR
1950-03-22,1,1,2,NYR
1950-03-26,0,0,0,CHI
1950-10-11,0,2,2,NYR
1950-10-15,1,1,2,TOR
1950-10-21,0,0,0,MTL
1950-10-22,0,1,1,MTL
1950-10-25,0,0,0,TOR
1950-10-28,1,0,1,CHI
