GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1990-10-05,0,0,0,WSH
1990-10-07,1,0,1,NJD
1990-10-09,0,0,0,STL
1990-10-11,0,0,0,CHI
1990-10-13,1,0,1,NYI
1990-10-16,0,0,0,PHI
1990-10-19,1,1,2,BUF
1990-10-20,0,0,0,NYR
1990-10-23,0,0,0,MTL
1990-10-25,0,0,0,QUE
1990-10-27,0,0,0,NJD
1990-10-28,2,0,2,NYI
1990-10-30,0,2,2,PHI
1990-11-03,0,0,0,NYR
1990-11-06,0,0,0,CGY
1990-11-08,0,0,0,STL
1990-11-10,0,1,1,BOS
1990-11-13,1,0,1,MNS
1990-11-14,1,0,1,WIN
1990-11-17,0,0,0,LAK
1990-11-21,0,0,0,PHI
1990-11-23,0,0,0,WSH
1990-11-24,0,0,0,WSH
1990-11-27,0,0,0,EDM
1990-11-29,0,0,0,HFD
1990-12-01,0,0,0,MNS
1990-12-03,0,1,1,NYR
1990-12-05,0,0,0,WSH
1990-12-07,0,0,0,VAN
1990-12-08,0,0,0,HFD
1990-12-11,0,0,0,CHI
1990-12-13,0,0,0,NJD
1990-12-14,0,0,0,BUF
1990-12-16,0,0,0,DET
1990-12-18,0,1,1,WIN
1990-12-20,1,0,1,MNS
1990-12-22,0,1,1,NYI
1990-12-23,1,0,1,NYI
1990-12-26,1,2,3,WSH
1990-12-28,0,1,1,DET
1990-12-29,2,0,2,TOR
1990-12-31,0,0,0,STL
1991-01-03,0,1,1,NYR
1991-01-05,1,0,1,NJD
1991-01-06,0,1,1,MTL
1991-01-08,0,2,2,EDM
1991-01-10,0,1,1,CGY
1991-01-15,0,1,1,PHI
1991-01-17,0,0,0,TOR
1991-01-22,0,0,0,NJD
1991-01-26,0,1,1,QUE
1991-01-29,0,1,1,WSH
1991-01-31,0,0,0,PHI
1991-02-02,3,0,3,BOS
1991-02-03,0,1,1,BOS
1991-02-08,0,0,0,WIN
1991-02-11,2,0,2,EDM
1991-02-14,0,1,1,NYI
1991-02-16,1,1,2,NYI
1991-02-19,1,0,1,BUF
1991-02-21,0,1,1,TOR
1991-02-22,0,1,1,NJD
1991-02-24,1,0,1,WSH
1991-02-26,0,0,0,LAK
1991-02-27,0,0,0,VAN
1991-03-01,0,1,1,CGY
1991-03-05,0,0,0,VAN
1991-03-07,0,0,0,LAK
1991-03-09,1,0,1,HFD
1991-03-10,0,1,1,NYI
1991-03-12,0,1,1,MTL
1991-03-16,1,1,2,QUE
1991-03-17,0,0,0,NYR
1991-03-19,1,0,1,NJD
1991-03-21,0,1,1,NYR
1991-03-23,0,0,0,CHI
1991-03-26,0,0,0,PHI
1991-03-27,2,0,2,DET
1991-03-30,1,1,2,PHI
1991-03-31,0,1,1,NYR
1991-10-04,0,3,3,BUF
1991-10-06,0,0,0,PHI
1991-10-10,0,1,1,PHI
1991-10-12,0,0,0,NJD
1991-10-15,1,1,2,NYI
1991-10-17,1,1,2,NYI
1991-10-19,1,1,2,NYR
1991-10-22,0,1,1,CHI
1991-10-24,0,0,0,NJD
1991-10-26,0,0,0,MTL
1991-10-29,0,0,0,WSH
1991-10-31,1,1,2,MNS
1991-11-02,0,0,0,HFD
1991-11-05,1,0,1,BOS
1991-11-08,0,0,0,WIN
1991-11-09,0,1,1,MNS
1991-11-11,0,0,0,NYR
1991-11-13,1,2,3,EDM
1991-11-15,0,1,1,WSH
1991-11-18,1,1,2,QUE
1991-11-20,1,2,3,PHI
1991-11-23,0,0,0,NYI
1991-11-27,0,0,0,NJD
1991-11-29,1,3,4,PHI
1991-11-30,0,2,2,PHI
1991-12-03,0,0,0,EDM
1991-12-05,0,0,0,SJS
1991-12-07,0,0,0,STL
1991-12-10,0,0,0,NYR
1991-12-13,0,0,0,NJD
1991-12-14,1,0,1,WSH
1991-12-17,0,2,2,SJS
1991-12-19,2,0,2,BOS
1991-12-21,1,0,1,NYR
1991-12-23,0,0,0,NYI
1991-12-26,2,0,2,TOR
1991-12-28,0,2,2,WSH
1991-12-29,2,1,3,NYR
1991-12-31,1,0,1,NJD
1992-01-02,0,0,0,NJD
1992-01-04,0,1,1,WIN
1992-01-07,0,0,0,LAK
1992-01-10,2,0,2,CGY
1992-01-12,1,0,1,VAN
1992-01-16,0,0,0,DET
1992-01-23,0,0,0,BUF
1992-01-25,1,1,2,NYI
1992-01-26,1,0,1,WSH
1992-02-20,1,1,2,QUE
1992-02-22,0,0,0,MTL
1992-02-25,0,0,0,WSH
1992-02-27,1,0,1,HFD
1992-02-29,1,1,2,BUF
1992-03-03,1,0,1,CGY
1992-03-06,0,0,0,SJS
1992-03-07,0,0,0,LAK
1992-03-10,0,1,1,CGY
1992-03-12,1,0,1,NYI
1992-03-14,0,1,1,TOR
1992-03-15,0,1,1,CHI
1992-03-17,0,2,2,EDM
1992-03-19,2,0,2,QUE
1992-03-22,0,0,0,HFD
1992-03-24,0,0,0,DET
1992-03-26,0,1,1,VAN
1992-03-28,0,1,1,MTL
1992-03-31,0,0,0,PHI
1992-04-13,0,0,0,NJD
1992-04-15,2,0,2,WSH
1992-04-16,0,0,0,NYR
1992-10-06,0,0,0,PHI
1992-10-08,1,2,3,NYI
1992-10-10,0,0,0,MTL
1992-10-13,1,2,3,BUF
1992-10-15,1,1,2,MTL
1992-10-17,0,3,3,HFD
1992-10-20,1,1,2,VAN
1992-10-22,1,3,4,DET
1992-10-24,1,0,1,NJD
1992-10-27,0,0,0,OTT
1992-10-29,0,0,0,STL
1992-11-01,0,2,2,TBL
1992-11-03,0,0,0,NYI
1992-11-05,1,0,1,STL
1992-11-07,0,0,0,TOR
1992-11-08,1,0,1,CHI
1992-11-10,0,0,0,MNS
1992-11-12,0,0,0,QUE
1992-11-13,0,0,0,DET
1992-11-17,0,1,1,BUF
1992-11-20,0,0,0,NJD
1992-11-21,1,0,1,NJD
1992-11-23,0,0,0,NYR
1992-11-25,0,1,1,NYR
1992-11-27,0,0,0,WSH
1992-11-28,0,2,2,WSH
1992-12-01,1,1,2,NYI
1992-12-03,0,0,0,LAK
1992-12-05,1,1,2,SJS
1992-12-08,1,2,3,WIN
1992-12-11,0,0,0,NJD
1992-12-12,0,1,1,NJD
1992-12-15,0,1,1,PHI
1992-12-17,2,0,2,PHI
1992-12-19,2,0,2,NYI
1992-12-21,1,1,2,QUE
1992-12-23,0,1,1,PHI
1992-12-27,1,0,1,BUF
1992-12-31,0,0,0,TOR
1993-01-02,0,1,1,NYR
1993-01-05,1,2,3,BOS
1993-01-07,0,0,0,MNS
1993-01-09,0,0,0,CGY
1993-01-10,0,0,0,WIN
1993-01-14,0,0,0,BOS
1993-01-16,0,2,2,OTT
1993-01-19,0,2,2,VAN
1993-01-22,0,0,0,EDM
1993-01-23,1,1,2,CGY
1993-01-26,0,2,2,WSH
1993-01-28,0,0,0,NYI
1993-01-30,1,1,2,PHI
1993-01-31,0,0,0,WSH
1993-02-08,0,3,3,BOS
1993-02-10,0,2,2,NYR
1993-02-13,0,0,0,CHI
1993-02-14,1,0,1,BUF
1993-02-18,0,1,1,EDM
1993-02-20,1,0,1,NYI
1993-02-21,0,1,1,HFD
1993-02-23,1,0,1,NJD
1993-03-02,0,0,0,PHI
1993-03-05,0,0,0,NYR
1993-03-09,0,0,0,BOS
1993-03-11,2,0,2,LAK
1993-03-14,0,0,0,NYI
1993-03-18,1,1,2,WSH
1993-03-20,1,2,3,PHI
1993-03-21,1,0,1,EDM
1993-03-23,1,2,3,SJS
1993-03-25,1,0,1,NJD
1993-03-27,1,1,2,BOS
1993-03-28,0,0,0,WSH
1993-03-30,0,1,1,OTT
1993-04-01,0,2,2,HFD
1993-04-03,0,0,0,QUE
1993-04-04,1,1,2,NJD
1993-04-07,0,1,1,MTL
1993-04-09,1,1,2,NYR
1993-04-10,0,2,2,NYR
1993-04-14,0,2,2,NJD
1993-10-05,0,1,1,PHI
1993-10-07,0,0,0,MTL
1993-10-09,0,2,2,NYR
1993-10-10,1,1,2,QUE
1993-10-12,0,1,1,FLA
1993-10-14,1,0,1,TBL
1993-10-16,0,2,2,HFD
1993-10-19,0,1,1,NYI
1993-10-22,2,1,3,BUF
1993-10-23,0,0,0,STL
1993-10-28,0,0,0,QUE
1993-10-30,2,1,3,CHI
1993-11-02,0,0,0,SJS
1993-11-03,2,2,4,BUF
1993-11-06,0,1,1,LAK
1993-11-07,1,1,2,ANA
1993-11-09,0,1,1,STL
1993-11-11,0,0,0,CHI
1993-11-13,0,1,1,DET
1993-11-16,1,5,6,PHI
1993-11-18,0,1,1,WSH
1993-11-20,0,0,0,MTL
1993-11-24,1,0,1,BOS
1993-11-26,0,0,0,WSH
1993-11-27,1,1,2,OTT
1993-12-02,1,0,1,NJD
1993-12-04,1,3,4,HFD
1993-12-08,0,1,1,DAL
1993-12-11,0,0,0,TBL
1993-12-14,0,0,0,LAK
1993-12-16,0,0,0,BUF
1993-12-19,1,1,2,NYI
1993-12-21,0,1,1,TBL
1993-12-23,0,0,0,BOS
1993-12-26,0,0,0,WSH
1993-12-28,0,2,2,PHI
1993-12-31,0,0,0,QUE
1994-01-02,0,2,2,HFD
1994-01-03,1,0,1,OTT
1994-01-07,0,2,2,BUF
1994-01-08,0,0,0,CGY
1994-01-11,0,2,2,BOS
1994-01-13,0,1,1,FLA
1994-01-15,1,0,1,EDM
1994-01-18,1,1,2,QUE
1994-02-01,0,0,0,FLA
1994-02-04,0,1,1,DET
1994-02-05,1,1,2,NJD
1994-02-07,0,0,0,MTL
1994-02-10,1,0,1,NYI
1994-02-12,0,0,0,DAL
1994-02-13,0,0,0,PHI
1994-02-15,1,0,1,WIN
1994-02-17,0,0,0,HFD
