GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1971-10-09,0,0,0,MNS
1971-10-10,0,0,0,CHI
1971-10-16,1,0,1,STL
1971-10-17,0,0,0,STL
1971-10-20,1,0,1,BOS
1971-10-22,0,1,1,TOR
1971-10-24,1,1,2,CGS
1971-10-26,0,1,1,CHI
1971-10-27,0,0,0,NYR
1971-10-30,0,0,0,MTL
1971-10-31,0,0,0,PIT
1971-11-01,0,0,0,TOR
1971-11-04,0,2,2,BUF
1971-11-06,0,0,0,BOS
1971-11-07,1,0,1,BUF
1971-11-10,0,0,0,MNS
1971-11-13,0,2,2,PHI
1971-11-16,0,1,1,STL
1971-11-20,0,1,1,LAK
1971-11-21,0,0,0,VAN
1971-11-24,0,0,0,CGS
1971-11-27,0,0,0,NYR
1971-11-28,0,2,2,MTL
1971-12-01,1,0,1,PIT
1971-12-02,0,1,1,PHI
1971-12-04,0,1,1,LAK
1971-12-05,0,0,0,STL
1971-12-08,0,0,0,MTL
1971-12-11,2,0,2,PHI
1971-12-14,0,0,0,VAN
1971-12-17,0,1,1,CGS
1971-12-18,0,1,1,LAK
1971-12-22,0,1,1,VAN
1971-12-25,0,0,0,TOR
1971-12-26,0,0,0,MNS
1971-12-29,0,2,2,BUF
1971-12-31,0,3,3,CGS
1972-01-02,1,1,2,MTL
1972-01-05,1,0,1,MNS
1972-01-07,0,1,1,CGS
1972-01-09,1,2,3,PIT
1972-01-11,0,1,1,PHI
1972-01-15,1,1,2,LAK
1972-01-16,0,0,0,BOS
1972-01-19,0,0,0,MNS
1972-01-22,0,0,0,BUF
1972-01-23,0,0,0,STL
1972-01-27,0,2,2,BUF
1972-01-29,1,0,1,LAK
1972-01-30,0,0,0,CHI
1972-02-01,0,0,0,TOR
1972-02-03,2,1,3,PHI
1972-02-05,1,0,1,BOS
1972-02-06,0,1,1,CGS
1972-02-10,1,0,1,BUF
1972-02-12,0,0,0,CHI
1972-02-16,0,1,1,MNS
1972-02-19,1,1,2,PIT
