GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1984-10-11,1,1,2,BOS
1984-10-13,0,1,1,MTL
1984-10-17,0,1,1,VAN
1984-10-20,0,0,0,PHI
1984-10-21,0,1,1,PHI
1984-10-24,0,0,0,NJD
1984-10-27,0,1,1,MTL
1984-10-30,0,2,2,DET
1984-10-31,1,2,3,NJD
1984-11-03,0,2,2,NYR
1984-11-06,0,1,1,EDM
1984-11-08,0,1,1,STL
1984-11-10,0,0,0,NYI
1984-11-14,1,1,2,WIN
1984-11-16,1,1,2,VAN
1984-11-17,1,2,3,LAK
1984-11-21,0,1,1,WSH
1984-12-07,0,1,1,NYR
1984-12-08,0,3,3,CGY
1984-12-12,1,2,3,NYI
1984-12-15,0,1,1,TOR
1984-12-19,1,1,2,NJD
1984-12-21,0,1,1,PHI
1984-12-22,1,0,1,NYI
1984-12-26,2,2,4,NYI
1984-12-28,0,0,0,HFD
1984-12-29,1,0,1,QUE
1984-12-31,0,1,1,DET
1985-01-02,0,0,0,TOR
1985-01-04,0,1,1,BUF
1985-01-05,0,0,0,QUE
1985-01-09,0,1,1,VAN
1985-01-12,2,0,2,EDM
1985-01-16,2,0,2,WSH
1985-01-17,1,1,2,WSH
1985-01-19,1,1,2,CHI
1985-01-21,0,1,1,WIN
1985-01-23,0,0,0,MNS
1985-01-25,2,0,2,CGY
1985-01-26,1,0,1,EDM
1985-01-30,1,0,1,TOR
1985-02-02,0,0,0,NYI
1985-02-07,1,1,2,NJD
1985-02-09,0,0,0,NYI
1985-02-10,0,2,2,LAK
1985-02-14,2,1,3,CHI
1985-02-16,0,0,0,QUE
1985-02-18,0,0,0,PHI
1985-02-20,2,3,5,CGY
1985-02-22,1,0,1,NYR
1985-02-23,1,0,1,MNS
1985-02-25,1,2,3,MNS
1985-02-27,0,1,1,WIN
1985-03-02,1,1,2,NYR
1985-03-03,1,0,1,NYR
1985-03-05,0,0,0,LAK
1985-03-07,0,0,0,STL
1985-03-09,1,0,1,BOS
1985-03-10,0,1,1,PHI
1985-03-13,1,0,1,BOS
1985-03-16,1,1,2,NYR
1985-03-17,1,1,2,HFD
1985-03-19,1,1,2,PHI
1985-03-22,0,0,0,BUF
1985-03-24,0,1,1,WSH
1985-03-26,1,1,2,NYR
1985-03-27,1,0,1,NJD
1985-03-30,2,0,2,NJD
1985-03-31,0,1,1,MTL
1985-04-02,1,2,3,NYI
1985-04-03,1,1,2,DET
1985-04-06,0,1,1,WSH
1985-04-07,1,0,1,WSH
1985-10-10,1,0,1,MTL
1985-10-12,0,0,0,PHI
1985-10-15,0,2,2,MNS
1985-10-16,2,2,4,CHI
1985-10-19,0,0,0,QUE
1985-10-23,2,0,2,TOR
1985-10-24,2,1,3,TOR
1985-10-26,1,2,3,QUE
1985-10-29,0,0,0,HFD
1985-10-30,0,2,2,DET
1985-11-02,1,1,2,MTL
1985-11-04,0,0,0,NYR
1985-11-06,0,1,1,WSH
1985-11-08,0,2,2,NJD
1985-11-09,1,1,2,CHI
1985-11-13,1,2,3,VAN
1985-11-16,1,2,3,LAK
1985-11-19,0,0,0,WSH
1985-11-20,0,0,0,WSH
1985-11-22,1,4,5,WIN
1985-11-24,1,0,1,PHI
1985-11-30,0,3,3,NYR
1985-12-02,0,2,2,NYR
1985-12-04,1,2,3,DET
1985-12-06,1,1,2,BUF
1985-12-07,0,0,0,NJD
1985-12-10,1,0,1,NYI
1985-12-11,1,0,1,NYI
1985-12-14,0,1,1,HFD
1985-12-15,1,3,4,NYR
1985-12-17,0,2,2,CGY
1985-12-19,0,1,1,MNS
1985-12-21,0,0,0,PHI
1985-12-22,1,0,1,PHI
1985-12-26,0,1,1,BOS
1985-12-28,0,2,2,NYI
1985-12-31,4,2,6,STL
1986-01-01,0,1,1,CHI
1986-01-06,0,0,0,NJD
1986-01-08,0,3,3,LAK
1986-01-09,0,0,0,NYI
1986-01-11,1,0,1,BUF
1986-01-15,0,1,1,NYI
1986-01-18,1,1,2,STL
1986-01-19,0,1,1,MNS
1986-01-22,0,4,4,EDM
1986-01-24,1,2,3,VAN
1986-01-25,0,2,2,CGY
1986-01-28,0,2,2,PHI
1986-01-29,0,1,1,NJD
1986-02-01,1,1,2,NYI
1986-02-02,0,2,2,BOS
1986-02-08,2,1,3,NJD
1986-02-12,1,2,3,WSH
1986-02-15,2,2,4,VAN
1986-02-16,1,1,2,NJD
1986-02-19,2,0,2,WIN
1986-02-21,2,1,3,DET
1986-02-22,0,2,2,STL
1986-02-24,0,3,3,LAK
1986-02-26,2,1,3,BUF
1986-02-27,0,2,2,NYR
1986-03-01,0,2,2,HFD
1986-03-04,1,0,1,CGY
1986-03-07,0,1,1,EDM
1986-03-09,2,1,3,WIN
1986-03-11,0,1,1,WSH
1986-03-12,1,0,1,BOS
1986-03-15,1,1,2,NYR
1986-03-17,0,0,0,WSH
1986-03-19,0,4,4,NJD
1986-03-20,0,0,0,PHI
1986-03-22,2,1,3,QUE
1986-03-26,0,1,1,EDM
1986-03-29,0,1,1,MTL
1986-04-01,0,0,0,WSH
1986-04-02,0,0,0,NYI
1986-04-05,0,1,1,PHI
1986-04-06,1,1,2,NYR
1986-10-09,1,0,1,WSH
1986-10-11,1,1,2,NYR
1986-10-12,1,1,2,CHI
1986-10-14,2,0,2,LAK
1986-10-17,3,2,5,BUF
1986-10-18,0,5,5,NJD
1986-10-22,2,0,2,BUF
1986-10-23,1,1,2,PHI
1986-10-25,1,2,3,PHI
1986-10-28,2,0,2,HFD
1986-10-29,1,2,3,NJD
1986-11-01,1,0,1,STL
1986-11-04,1,0,1,VAN
1986-11-08,0,1,1,MNS
1986-11-09,0,0,0,DET
1986-11-12,0,0,0,BOS
1986-11-14,1,2,3,NJD
1986-11-15,1,0,1,QUE
1986-11-18,0,0,0,WIN
1986-11-20,1,1,2,CGY
1986-11-22,0,0,0,WSH
1986-11-25,0,1,1,NYI
1986-11-26,0,0,0,NYI
1986-11-29,1,2,3,NYR
1986-11-30,0,1,1,NYR
1986-12-05,0,0,0,EDM
1986-12-06,0,0,0,MNS
1986-12-10,1,2,3,CGY
1986-12-12,4,2,6,TOR
1986-12-13,0,1,1,TOR
1986-12-17,0,0,0,LAK
1986-12-20,1,1,2,PHI
1987-01-21,1,1,2,LAK
1987-01-23,3,0,3,VAN
1987-01-24,0,1,1,EDM
1987-01-27,1,0,1,WSH
1987-01-29,1,1,2,PHI
1987-02-01,2,0,2,HFD
1987-02-05,3,2,5,BOS
1987-02-07,0,2,2,CHI
1987-02-08,0,0,0,NJD
1987-02-14,1,2,3,VAN
1987-02-15,0,0,0,NYR
1987-02-24,0,0,0,EDM
1987-02-26,1,1,2,NYI
1987-02-28,0,1,1,CHI
1987-03-01,1,0,1,STL
1987-03-03,2,1,3,QUE
1987-03-05,0,0,0,TOR
1987-03-07,2,0,2,MNS
1987-03-08,3,1,4,WIN
1987-03-10,0,1,1,NYI
1987-03-12,3,2,5,QUE
