GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1979-10-10,0,0,0,CHI
1979-10-13,1,0,1,DET
1979-10-14,0,0,0,VAN
1979-10-19,0,1,1,QUE
1979-10-21,0,0,0,MNS
1979-10-23,0,1,1,NYI
1979-10-24,0,0,0,NYR
1979-10-26,0,0,0,AFM
1979-10-28,0,0,0,WSH
1979-11-11,0,0,0,TOR
1979-11-13,0,2,2,WSH
1979-11-15,0,0,0,PHI
1979-11-17,0,0,0,HFD
1979-11-18,0,1,1,BUF
1979-11-21,0,0,0,TOR
1979-11-24,0,0,0,PHI
1979-11-28,0,0,0,CHI
1979-11-30,0,0,0,NYI
1979-12-05,0,0,0,MNS
1979-12-07,0,1,1,WIN
1979-12-09,0,0,0,HFD
1979-12-12,1,0,1,AFM
1979-12-14,1,0,1,MTL
1979-12-16,0,1,1,WIN
1979-12-19,0,0,0,DET
1979-12-21,1,0,1,CLR
1979-12-22,0,0,0,LAK
1979-12-26,0,0,0,CLR
1979-12-28,0,0,0,VAN
1979-12-30,0,0,0,QUE
1980-01-02,0,0,0,HFD
1980-01-05,0,0,0,LAK
1980-01-07,0,0,0,MTL
1980-01-09,0,0,0,QUE
1980-01-11,0,1,1,NYR
1980-01-13,0,0,0,BUF
1980-01-16,0,0,0,WSH
1980-01-17,0,1,1,BOS
1980-01-19,0,0,0,PIT
1980-01-20,0,0,0,BUF
1980-01-23,0,0,0,PIT
1980-01-26,0,2,2,TOR
1980-01-27,0,0,0,PHI
1980-01-29,1,1,2,STL
1980-01-30,0,0,0,LAK
1980-02-01,0,0,0,WIN
1980-02-03,0,0,0,LAK
1980-02-06,0,0,0,STL
1980-02-08,1,0,1,AFM
1980-02-10,0,1,1,WIN
1980-02-13,2,0,2,MNS
1980-02-15,0,0,0,WSH
1980-02-17,0,0,0,STL
1980-02-19,0,0,0,HFD
1980-02-20,0,0,0,NYR
1980-02-22,0,0,0,CLR
1980-02-24,0,0,0,BOS
1980-02-27,0,2,2,CHI
1980-02-29,0,0,0,BUF
1980-03-01,0,1,1,VAN
1980-03-04,0,0,0,NYI
1980-03-06,0,0,0,MTL
1980-03-08,0,0,0,PIT
1980-03-09,1,0,1,PHI
1980-03-12,0,1,1,QUE
1980-03-14,2,1,3,CHI
1980-03-15,0,0,0,MTL
1980-03-19,0,1,1,NYR
1980-03-21,0,0,0,PIT
1980-03-25,1,0,1,AFM
1980-03-26,0,1,1,DET
1980-03-29,0,0,0,TOR
1980-04-01,0,0,0,VAN
1980-04-02,0,0,0,MNS
1980-04-04,0,1,1,CLR
1980-10-10,0,0,0,QUE
