GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1979-10-11,0,1,1,BUF
1979-10-13,0,0,0,BOS
1979-10-14,0,0,0,NYR
1979-10-16,1,0,1,LAK
1979-10-24,0,1,1,LAK
1979-10-27,0,1,1,VAN
1979-10-28,0,0,0,EDM
1979-10-30,0,1,1,MTL
1979-11-02,0,0,0,WIN
1979-11-03,0,0,0,MNS
1979-11-05,0,0,0,MTL
1979-11-07,0,1,1,WIN
1979-11-10,1,0,1,BUF
1979-11-13,0,0,0,EDM
1979-11-15,0,0,0,BOS
1979-11-16,0,0,0,DET
1979-11-18,0,1,1,AFM
1979-11-20,1,0,1,CLR
1979-11-21,0,0,0,CHI
1979-11-24,0,1,1,BUF
1979-11-25,0,0,0,QUE
1979-11-28,0,0,0,TOR
1979-12-01,3,0,3,QUE
1979-12-02,0,0,0,BUF
1979-12-04,0,1,1,HFD
1979-12-07,1,1,2,PIT
1979-12-08,0,0,0,STL
1979-12-12,0,2,2,MNS
1979-12-15,1,2,3,NYR
1979-12-19,1,0,1,HFD
1979-12-21,0,0,0,VAN
1979-12-22,0,0,0,NYI
1979-12-26,1,2,3,TOR
1979-12-28,1,1,2,CHI
1979-12-30,0,0,0,NYR
1980-01-04,1,0,1,HFD
1980-01-05,0,0,0,MNS
1980-01-11,2,0,2,VAN
1980-01-12,0,0,0,NYI
1980-01-15,1,1,2,PHI
1980-01-16,0,0,0,EDM
1980-01-19,1,1,2,PHI
1980-01-20,0,0,0,QUE
1980-01-22,0,0,0,WIN
1980-01-26,0,0,0,QUE
1980-01-27,1,2,3,NYI
1980-01-30,0,0,0,CHI
1980-02-02,0,0,0,NYR
1980-02-06,1,0,1,DET
1980-02-08,0,1,1,WIN
1980-02-12,0,1,1,LAK
1980-02-15,0,1,1,EDM
1980-02-16,0,1,1,VAN
1980-02-19,1,0,1,MTL
1980-02-21,0,0,0,AFM
1980-02-23,2,0,2,CHI
1980-02-24,1,0,1,CLR
1980-02-26,1,0,1,LAK
1980-02-28,0,0,0,DET
1980-03-01,0,0,0,MTL
1980-03-02,1,0,1,CLR
1980-03-05,3,1,4,STL
1980-03-08,2,1,3,HFD
1980-03-09,1,0,1,NYI
1980-03-12,1,1,2,BOS
1980-03-15,1,1,2,DET
1980-03-16,1,0,1,BOS
1980-03-18,1,0,1,CLR
1980-03-21,0,0,0,MNS
1980-03-22,0,0,0,STL
1980-03-24,0,0,0,TOR
1980-03-26,1,0,1,STL
1980-03-29,0,1,1,PHI
1980-03-30,0,0,0,PIT
1980-04-01,1,1,2,PIT
1980-04-03,0,0,0,PHI
1980-04-05,0,2,2,AFM
1980-10-10,0,1,1,WIN
1980-10-12,0,0,0,NYI
1980-10-15,0,1,1,MTL
1980-10-18,4,0,4,NYR
1980-10-19,1,3,4,CHI
1980-10-21,1,0,1,CHI
1980-10-24,0,0,0,STL
1980-10-25,1,0,1,STL
1980-10-29,0,0,0,LAK
1980-10-30,1,0,1,CLR
1980-11-01,0,0,0,EDM
1980-11-02,0,2,2,WIN
1980-11-05,0,1,1,LAK
1980-11-08,1,0,1,BUF
1980-11-09,1,0,1,BUF
1980-11-12,0,0,0,PIT
1980-11-15,0,1,1,HFD
1980-11-18,0,2,2,QUE
1980-11-20,2,1,3,CGY
1980-11-22,0,0,0,BOS
1980-11-26,1,1,2,DET
1980-11-28,0,0,0,TOR
1980-11-29,2,0,2,TOR
1980-12-03,0,1,1,MNS
1980-12-06,0,0,0,CLR
1980-12-07,0,0,0,BOS
1980-12-09,1,0,1,VAN
1980-12-10,2,0,2,NYR
1980-12-12,0,0,0,PIT
1980-12-14,0,3,3,DET
1980-12-17,1,1,2,EDM
1980-12-20,0,1,1,PHI
1980-12-21,0,0,0,PHI
1980-12-26,0,0,0,NYR
1980-12-27,1,1,2,MTL
1980-12-30,1,0,1,VAN
1980-12-31,1,0,1,WIN
1981-01-03,0,0,0,MNS
1981-01-04,0,0,0,PHI
1981-01-07,1,1,2,EDM
1981-01-08,0,0,0,CGY
1981-01-10,1,0,1,MNS
1981-01-12,0,1,1,CLR
1981-01-15,1,1,2,LAK
1981-01-17,0,1,1,NYI
1981-01-18,0,1,1,HFD
1981-01-21,0,0,0,MNS
1981-01-24,1,1,2,BUF
1981-01-27,1,0,1,WIN
1981-01-29,0,1,1,VAN
1981-01-31,0,1,1,PIT
1981-02-01,0,2,2,EDM
1981-02-03,0,2,2,VAN
1981-02-05,2,0,2,CGY
1981-02-07,0,1,1,LAK
1981-02-12,1,0,1,BUF
1981-02-14,0,0,0,MTL
1981-02-18,0,2,2,CHI
1981-02-21,0,0,0,NYR
1981-02-22,0,3,3,QUE
1981-02-25,0,0,0,CHI
1981-02-26,2,0,2,PIT
1981-02-28,1,0,1,STL
1981-03-03,1,0,1,CGY
1981-03-04,2,0,2,QUE
1981-03-08,1,0,1,TOR
1981-03-10,1,2,3,CLR
1981-03-11,1,0,1,HFD
1981-03-13,0,1,1,BOS
1981-03-14,0,1,1,TOR
1981-03-18,1,0,1,QUE
1981-03-21,0,1,1,STL
1981-03-22,1,1,2,MTL
1981-03-24,3,0,3,PHI
1981-03-26,1,0,1,DET
1981-03-27,1,0,1,HFD
1981-03-29,1,0,1,NYI
1981-04-02,0,1,1,BOS
1981-04-04,0,0,0,NYI
1981-04-05,1,1,2,DET
1981-10-07,0,1,1,BUF
1981-10-10,1,0,1,DET
1981-10-11,0,0,0,BOS
1981-10-14,0,1,1,PHI
1981-10-15,0,0,0,PHI
1981-10-17,0,0,0,BUF
1981-10-21,0,0,0,QUE
1981-10-23,0,0,0,NYI
1981-10-24,0,1,1,NYI
1981-10-28,0,0,0,VAN
1981-10-29,1,1,2,LAK
1981-10-31,0,0,0,CLR
1981-11-04,1,0,1,MNS
1981-11-07,0,0,0,NYR
1981-11-11,0,0,0,PIT
1981-11-13,0,1,1,DET
1981-11-14,1,0,1,HFD
1981-11-18,1,4,5,CLR
1981-11-21,0,2,2,PHI
1981-11-22,0,1,1,PHI
1981-11-25,0,1,1,MNS
1981-11-27,0,1,1,MTL
1981-11-28,0,0,0,HFD
1981-12-02,3,2,5,CGY
1981-12-04,1,0,1,WIN
1981-12-05,0,0,0,TOR
1981-12-09,0,0,0,CHI
1981-12-11,0,1,1,TOR
1981-12-12,0,0,0,PIT
1981-12-14,0,0,0,MTL
1981-12-17,1,0,1,NYI
1981-12-19,0,0,0,CHI
1981-12-20,0,2,2,NYR
1981-12-23,1,1,2,BOS
1981-12-26,1,1,2,NYR
1981-12-27,1,0,1,BUF
1981-12-30,1,1,2,PIT
1982-01-02,2,0,2,VAN
1982-01-03,1,0,1,NYR
1982-01-05,0,0,0,QUE
1982-01-07,0,0,0,LAK
1982-01-09,0,0,0,STL
1982-01-13,1,1,2,EDM
1982-01-16,0,0,0,DET
1982-01-17,0,0,0,NYI
1982-01-20,0,0,0,WIN
1982-01-23,0,0,0,BOS
1982-01-24,0,1,1,NYR
1982-01-27,0,1,1,NYR
1982-01-30,0,0,0,CHI
1982-01-31,1,3,4,PIT
1982-02-02,1,1,2,NYI
1982-02-04,2,0,2,NYI
1982-02-06,1,1,2,PIT
1982-02-07,0,1,1,QUE
1982-02-11,0,1,1,CGY
1982-02-12,1,0,1,EDM
1982-02-14,0,0,0,CLR
1982-02-17,1,0,1,LAK
1982-02-20,1,1,2,MNS
1982-02-21,2,0,2,WIN
1982-02-25,0,3,3,STL
1982-02-27,2,0,2,HFD
1982-02-28,0,0,0,EDM
1982-03-03,1,2,3,STL
1982-03-05,1,1,2,CGY
1982-03-07,0,0,0,PHI
1982-03-10,0,1,1,PIT
1982-03-13,0,1,1,PHI
1982-03-14,0,3,3,NYR
1982-03-17,1,1,2,VAN
1982-03-20,1,0,1,NYR
1982-03-21,0,0,0,NYI
1982-03-23,0,0,0,NYI
1982-03-25,0,0,0,PHI
1982-03-27,0,0,0,PHI
1982-03-28,0,0,0,PIT
1982-03-31,1,0,1,PIT
1982-04-03,0,0,0,TOR
1982-04-04,0,0,0,MTL
1982-10-06,1,2,3,NYR
1982-10-09,1,0,1,PHI
1982-10-10,0,1,1,PHI
1982-10-13,0,1,1,TOR
1982-10-16,0,0,0,BUF
1982-10-20,1,0,1,MTL
1982-10-21,0,0,0,NYI
1982-10-23,1,0,1,MNS
1982-10-27,2,2,4,PIT
1982-10-30,0,0,0,STL
1982-11-03,0,2,2,CHI
1982-11-05,1,0,1,STL
1982-11-07,2,0,2,HFD
1982-11-08,0,0,0,NJD
1982-11-10,0,1,1,NJD
1982-11-13,1,0,1,NYI
1982-11-16,0,1,1,CGY
1982-11-19,1,0,1,WIN
1982-11-21,0,0,0,VAN
1982-11-23,0,0,0,CGY
1982-11-24,1,1,2,EDM
1982-11-26,1,0,1,TOR
1982-11-28,0,0,0,NYI
1982-12-02,2,0,2,PIT
1982-12-04,0,0,0,CHI
1982-12-07,0,0,0,WIN
1982-12-09,2,2,4,NJD
1982-12-10,1,0,1,NYR
1982-12-12,0,0,0,BOS
1982-12-14,1,1,2,LAK
1982-12-16,0,0,0,MNS
1982-12-18,0,0,0,PIT
1982-12-19,1,1,2,PHI
1982-12-23,2,1,3,NYI
1982-12-26,1,0,1,PHI
1982-12-28,0,0,0,PIT
1982-12-30,0,1,1,HFD
1983-01-01,0,1,1,NYR
1983-01-02,0,3,3,QUE
1983-01-05,1,1,2,DET
1983-01-06,0,0,0,TOR
1983-01-08,0,0,0,STL
1983-01-11,1,2,3,LAK
1983-01-14,0,1,1,BUF
1983-01-15,0,0,0,BUF
1983-01-18,0,2,2,PHI
1983-01-19,0,2,2,CHI
1983-01-21,1,0,1,QUE
1983-01-23,0,0,0,NJD
1983-01-26,0,1,1,PIT
1983-01-28,1,0,1,PIT
1983-01-29,0,1,1,MTL
1983-02-01,1,1,2,DET
1983-02-03,0,0,0,MNS
1983-02-05,0,0,0,NJD
1983-02-06,1,0,1,QUE
1983-02-10,0,0,0,NYI
1983-02-13,0,0,0,WIN
1983-03-02,0,1,1,EDM
1983-03-03,1,0,1,NYR
1983-03-05,0,1,1,PHI
1983-03-08,0,0,0,NJD
1983-03-12,0,0,0,NYI
1983-03-13,3,0,3,BOS
1983-03-16,2,0,2,HFD
1983-03-17,0,1,1,BOS
1983-03-20,1,0,1,PHI
1983-03-23,1,0,1,VAN
1983-03-24,0,0,0,NJD
1983-03-26,0,1,1,PIT
1983-03-27,0,0,0,NYR
1983-03-30,1,0,1,NYI
1983-04-03,0,2,2,NYR
1983-10-06,0,0,0,PHI
1983-10-08,0,2,2,NYI
1983-10-09,1,0,1,BUF
1983-10-13,0,0,0,NYR
1983-10-14,0,0,0,PIT
1983-10-16,1,0,1,QUE
1983-10-19,0,0,0,HFD
1983-10-22,1,0,1,PHI
1983-10-25,1,0,1,PIT
1983-10-26,0,0,0,NJD
1983-10-29,0,1,1,MNS
1983-10-30,3,1,4,WIN
1983-11-02,0,0,0,EDM
1983-11-04,1,1,2,VAN
1983-11-06,0,0,0,DET
1983-11-09,2,0,2,EDM
1983-11-12,0,2,2,NYR
1983-11-13,0,2,2,BOS
1983-11-16,0,0,0,NYR
1983-11-18,1,2,3,NYI
1983-11-19,1,0,1,NYI
1983-11-23,0,0,0,CHI
1983-11-25,0,0,0,NYR
1983-11-26,0,2,2,MTL
1983-11-29,2,0,2,QUE
1983-12-01,0,0,0,NJD
1983-12-02,1,0,1,NJD
1983-12-04,0,0,0,BOS
1983-12-07,1,2,3,NYR
1983-12-08,0,0,0,CGY
1983-12-10,0,1,1,MTL
1983-12-15,1,0,1,PHI
