GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1964-01-16,0,0,0,MTL
1964-01-18,0,0,0,NYR
1964-01-19,0,0,0,TOR
1964-01-23,0,0,0,BOS
1964-01-25,1,0,1,DET
1964-01-26,0,0,0,MTL
1964-01-29,0,0,0,DET
1964-02-01,0,0,0,NYR
1964-02-02,0,0,0,BOS
1964-02-05,0,0,0,DET
1964-02-06,0,0,0,DET
1964-02-08,0,0,0,TOR
1964-02-09,0,0,0,TOR
1964-02-15,0,0,0,TOR
1964-02-16,0,0,0,BOS
1964-02-19,1,0,1,NYR
1964-02-22,0,0,0,MTL
1964-02-23,0,0,0,BOS
1964-02-27,0,1,1,DET
1964-02-29,0,0,0,TOR
1964-03-01,0,0,0,MTL
1964-03-04,0,0,0,NYR
1964-03-08,0,1,1,TOR
1964-03-14,1,0,1,MTL
1964-03-15,0,0,0,DET
1964-03-17,0,0,0,NYR
1964-03-22,0,0,0,BOS
1964-10-14,1,1,2,BOS
1964-10-17,0,0,0,DET
1964-10-18,0,1,1,DET
1964-10-21,0,0,0,MTL
1964-10-25,0,0,0,NYR
1964-10-27,0,0,0,TOR
1964-10-31,0,0,0,TOR
1964-11-01,0,0,0,BOS
1964-11-03,1,1,2,NYR
1964-11-07,1,1,2,MTL
1964-11-08,0,0,0,BOS
1964-11-11,1,0,1,MTL
1964-11-15,0,0,0,TOR
1964-11-18,0,0,0,DET
1964-11-21,0,0,0,TOR
1964-11-22,1,1,2,MTL
1964-11-26,0,1,1,TOR
1964-11-29,0,0,0,BOS
1964-12-02,0,0,0,NYR
1964-12-05,1,0,1,MTL
1964-12-06,0,0,0,NYR
1964-12-09,0,0,0,NYR
1964-12-10,2,1,3,BOS
1964-12-12,1,1,2,DET
1964-12-13,0,1,1,DET
1964-12-16,2,2,4,BOS
1964-12-19,1,2,3,MTL
1964-12-20,1,1,2,BOS
1964-12-25,0,0,0,TOR
1964-12-26,1,0,1,TOR
1964-12-27,0,1,1,BOS
1964-12-29,0,2,2,NYR
1964-12-31,0,0,0,DET
1965-01-01,0,1,1,NYR
1965-01-03,0,0,0,MTL
1965-01-06,0,0,0,TOR
1965-01-09,0,2,2,DET
1965-01-10,0,0,0,DET
1965-01-13,0,0,0,TOR
1965-01-16,0,0,0,NYR
1965-01-17,1,0,1,MTL
1965-01-20,0,1,1,BOS
1965-01-24,1,2,3,NYR
1965-01-27,0,0,0,MTL
1965-01-28,0,1,1,BOS
1965-01-30,1,0,1,DET
1965-01-31,0,0,0,MTL
1965-02-03,1,0,1,NYR
1965-02-06,2,0,2,TOR
1965-02-07,0,0,0,TOR
1965-02-10,1,1,2,DET
1965-02-11,0,1,1,DET
1965-02-13,0,0,0,NYR
1965-02-14,1,0,1,MTL
1965-02-17,0,0,0,NYR
1965-02-20,0,1,1,TOR
1965-02-21,0,1,1,BOS
1965-02-24,0,0,0,DET
1965-02-27,0,1,1,MTL
1965-02-28,0,1,1,BOS
1965-03-03,0,0,0,DET
1965-03-06,0,0,0,TOR
1965-03-07,0,0,0,MTL
1965-03-10,1,0,1,NYR
1965-03-14,0,1,1,TOR
1965-03-17,0,0,0,BOS
1965-03-20,0,0,0,MTL
1965-03-21,0,0,0,DET
1965-03-23,0,0,0,NYR
1965-03-28,0,1,1,BOS
1965-10-23,0,1,1,TOR
1965-10-24,0,0,0,BOS
1965-10-28,1,1,2,DET
1965-10-30,0,1,1,MTL
1965-11-03,0,0,0,BOS
1965-11-07,1,2,3,TOR
1965-11-10,1,0,1,DET
1965-11-13,0,0,0,MTL
1965-11-14,0,0,0,NYR
1965-11-17,0,1,1,NYR
1965-11-20,0,0,0,TOR
1965-11-21,2,1,3,TOR
1965-11-23,1,0,1,DET
1965-11-25,0,0,0,DET
1965-11-27,0,1,1,NYR
1965-11-28,0,0,0,MTL
1965-12-01,0,2,2,BOS
1965-12-04,2,1,3,BOS
1965-12-05,1,0,1,NYR
1965-12-08,0,0,0,NYR
1965-12-11,0,0,0,MTL
1965-12-12,0,0,0,MTL
1965-12-15,0,2,2,BOS
1965-12-18,0,0,0,DET
1965-12-19,1,0,1,DET
1965-12-22,0,0,0,NYR
1965-12-25,0,0,0,TOR
1965-12-26,0,0,0,TOR
1965-12-29,0,0,0,NYR
1965-12-31,1,0,1,DET
1966-01-02,0,0,0,BOS
1966-01-05,0,0,0,MTL
1966-01-08,1,1,2,NYR
1966-01-09,0,0,0,TOR
1966-01-13,1,0,1,BOS
1966-01-15,0,0,0,MTL
1966-01-16,0,0,0,NYR
1966-01-20,0,0,0,BOS
1966-01-22,0,0,0,TOR
1966-01-23,0,2,2,MTL
1966-01-26,2,0,2,MTL
1966-01-27,1,1,2,BOS
1966-01-29,1,0,1,DET
1966-01-30,0,0,0,DET
1966-02-02,0,1,1,NYR
1966-02-05,1,0,1,TOR
1966-02-06,0,0,0,TOR
1966-02-09,0,0,0,DET
1966-02-12,0,0,0,MTL
1966-02-13,0,1,1,NYR
1966-02-16,1,1,2,NYR
1966-02-19,0,0,0,MTL
1966-02-20,0,1,1,BOS
1966-02-23,1,0,1,TOR
1966-02-26,0,0,0,DET
1966-02-27,2,2,4,BOS
1966-03-02,1,0,1,DET
1966-03-05,0,0,0,TOR
1966-03-06,0,0,0,MTL
1966-03-09,0,0,0,NYR
1966-03-12,0,2,2,NYR
1966-03-13,1,1,2,TOR
1966-03-16,2,0,2,DET
1966-03-19,0,0,0,TOR
1966-03-24,0,0,0,BOS
1966-03-27,0,0,0,DET
1966-03-29,1,0,1,BOS
