GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2005-10-05,0,1,1,NJD
2005-10-07,0,1,1,CAR
2005-10-08,1,2,3,BOS
2005-10-10,0,1,1,BUF
2005-10-14,1,1,2,PHI
2005-10-15,0,1,1,TBL
2005-10-20,0,0,0,NJD
2005-10-22,0,2,2,BOS
2005-10-25,0,1,1,FLA
2005-10-27,0,2,2,ATL
2005-10-29,0,0,0,CAR
2005-11-01,0,1,1,NJD
2005-11-03,2,1,3,NYI
2005-11-05,0,0,0,BOS
2005-11-07,1,0,1,NYR
2005-11-09,0,0,0,ATL
2005-11-10,1,0,1,MTL
2005-11-12,0,0,0,NYR
2005-11-14,1,0,1,NYI
2005-11-16,2,1,3,PHI
2005-11-19,1,0,1,PHI
2005-11-22,1,1,2,WSH
2005-11-25,1,0,1,FLA
2005-11-27,0,0,0,TBL
2005-11-29,0,0,0,BUF
2005-12-01,0,0,0,NYR
2005-12-03,1,0,1,CGY
2005-12-08,0,0,0,MIN
2005-12-10,0,1,1,COL
2005-12-12,0,1,1,DET
2005-12-13,0,0,0,STL
2005-12-16,0,1,1,BUF
2005-12-17,1,0,1,BUF
2005-12-23,2,1,3,PHI
2005-12-27,0,1,1,TOR
2005-12-29,2,1,3,NJD
2005-12-31,1,1,2,NYR
2006-01-02,0,1,1,TOR
2006-01-03,2,0,2,MTL
2006-01-06,0,1,1,ATL
2006-01-07,0,2,2,ATL
2006-01-10,0,0,0,EDM
2006-01-11,0,0,0,CBJ
2006-01-13,0,1,1,CHI
2006-01-15,0,1,1,NSH
2006-01-16,1,0,1,VAN
2006-01-19,1,1,2,NYR
2006-01-21,0,0,0,PHI
2006-01-23,0,1,1,PHI
2006-01-25,1,3,4,WSH
2006-01-26,0,1,1,NYI
2006-01-28,1,0,1,NYR
2006-02-01,0,0,0,NYR
2006-02-04,1,0,1,NYI
2006-02-06,0,0,0,OTT
2006-02-08,0,0,0,BOS
2006-02-10,1,1,2,CAR
2006-02-11,1,1,2,WSH
2006-03-01,0,0,0,OTT
2006-03-04,0,1,1,CAR
2006-03-07,1,1,2,TBL
2006-03-08,0,1,1,WSH
2006-03-11,2,1,3,NJD
2006-03-12,0,2,2,PHI
2006-03-16,0,0,0,NJD
2006-03-18,0,1,1,MTL
2006-03-19,0,0,0,TOR
2006-03-21,0,1,1,OTT
2006-03-24,1,1,2,NYI
2006-03-26,0,2,2,MTL
2006-03-29,0,0,0,FLA
2006-03-31,1,2,3,NYI
2006-04-02,1,1,2,NJD
2006-04-05,1,1,2,NJD
2006-04-07,1,3,4,FLA
2006-04-08,0,0,0,TBL
2006-04-11,1,1,2,PHI
2006-04-13,1,3,4,NYR
2006-04-15,0,0,0,NYI
2006-04-17,0,3,3,NYI
2006-04-18,1,1,2,TOR
2006-10-05,1,1,2,PHI
2006-10-07,0,0,0,DET
2006-10-12,1,3,4,NYR
2006-10-14,0,0,0,CAR
2006-10-18,0,0,0,NJD
2006-10-19,0,3,3,NYI
2006-10-21,0,1,1,CBJ
2006-10-24,1,1,2,NJD
2006-10-28,3,0,3,PHI
2006-11-01,0,3,3,LAK
2006-11-04,0,0,0,SJS
2006-11-06,0,1,1,ANA
2006-11-08,0,2,2,TBL
2006-11-10,0,1,1,OTT
2006-11-11,0,0,0,CAR
2006-11-13,1,1,2,PHI
2006-11-17,2,0,2,BUF
2006-11-18,0,2,2,NYR
2006-11-20,1,1,2,PHI
2006-11-28,0,2,2,NYI
2006-12-01,0,0,0,NJD
2006-12-02,0,2,2,NYI
2006-12-05,1,1,2,FLA
2006-12-07,1,0,1,NYR
2006-12-09,1,1,2,ATL
2006-12-11,1,1,2,WSH
2006-12-13,1,5,6,PHI
2006-12-15,1,3,4,NYI
2006-12-16,0,1,1,MTL
2006-12-19,0,1,1,STL
2006-12-21,1,1,2,ATL
2006-12-26,0,0,0,NJD
2006-12-27,0,0,0,ATL
2006-12-29,0,3,3,TOR
2007-01-02,2,1,3,CAR
2007-01-05,0,1,1,BUF
2007-01-07,1,1,2,TBL
2007-01-09,1,0,1,TBL
2007-01-10,0,0,0,FLA
2007-01-13,0,1,1,PHI
2007-01-16,2,0,2,NYI
2007-01-18,0,1,1,BOS
2007-01-20,1,2,3,TOR
2007-01-26,0,2,2,DAL
2007-01-27,1,3,4,PHX
2007-01-30,0,1,1,FLA
2007-02-01,0,3,3,MTL
2007-02-03,0,0,0,WSH
2007-02-04,0,2,2,MTL
2007-02-06,0,2,2,NSH
2007-02-08,0,0,0,PHI
2007-02-10,0,1,1,TOR
2007-02-14,0,1,1,CHI
2007-02-16,1,1,2,NJD
2007-02-18,0,1,1,WSH
2007-02-19,0,4,4,NYI
2007-02-22,0,1,1,FLA
2007-02-25,0,1,1,TBL
2007-02-27,0,0,0,NJD
2007-03-01,0,0,0,NYR
2007-03-02,1,0,1,CAR
2007-03-04,0,0,0,PHI
2007-03-06,0,0,0,OTT
2007-03-08,0,1,1,NJD
2007-03-10,1,0,1,NYR
2007-03-13,1,2,3,BUF
2007-03-14,0,1,1,NJD
2007-03-16,2,0,2,MTL
2007-03-18,1,1,2,OTT
2007-03-19,0,0,0,NYR
2007-03-22,0,0,0,NYI
2007-03-24,0,0,0,ATL
2007-03-25,2,1,3,BOS
2007-03-27,1,1,2,WSH
2007-03-29,0,3,3,BOS
2007-03-31,1,0,1,TOR
2007-04-03,0,0,0,BUF
2007-04-05,0,1,1,OTT
2007-04-07,0,2,2,NYR
2007-10-05,0,0,0,CAR
2007-10-06,0,1,1,ANA
2007-10-10,0,1,1,MTL
2007-10-13,2,0,2,TOR
2007-10-17,0,2,2,NJD
2007-10-19,0,2,2,CAR
2007-10-20,0,1,1,WSH
2007-10-23,0,1,1,NYR
2007-10-25,1,1,2,TOR
2007-10-27,1,0,1,MTL
2007-10-30,1,3,4,MIN
2007-11-01,2,0,2,COL
2007-11-03,0,1,1,NYI
2007-11-05,2,0,2,NJD
2007-11-07,0,1,1,PHI
2007-11-08,0,1,1,NYR
2007-11-10,0,1,1,PHI
2007-11-12,1,1,2,NJD
2007-11-15,0,1,1,NYI
2007-11-17,1,1,2,NYR
2007-11-21,0,0,0,NJD
2007-11-22,0,1,1,OTT
2007-11-24,1,1,2,ATL
2007-11-30,2,0,2,DAL
2007-12-01,0,1,1,TOR
2007-12-03,0,1,1,PHX
2007-12-05,0,3,3,EDM
2007-12-06,0,0,0,CGY
2007-12-08,0,0,0,VAN
2007-12-11,0,2,2,PHI
2007-12-13,0,0,0,OTT
2007-12-15,1,0,1,NYI
2007-12-18,0,0,0,NYR
2007-12-20,1,2,3,BOS
2007-12-21,0,1,1,NYI
2007-12-23,0,1,1,BOS
2007-12-27,0,2,2,WSH
2007-12-29,0,2,2,BUF
2008-01-01,0,1,1,BUF
2008-01-03,0,2,2,TOR
2008-01-05,1,1,2,FLA
2008-01-08,1,1,2,FLA
2008-01-10,0,0,0,TBL
2008-01-12,2,0,2,ATL
2008-01-14,0,2,2,NYR
2008-01-18,0,0,0,TBL
2008-03-04,0,1,1,TBL
2008-03-06,0,1,1,FLA
2008-03-09,2,0,2,WSH
2008-03-27,0,0,0,NYI
2008-03-30,0,2,2,NYR
2008-03-31,0,0,0,NYR
2008-04-02,2,1,3,PHI
2008-10-04,0,1,1,OTT
2008-10-05,0,1,1,OTT
2008-10-11,0,0,0,NJD
2008-10-14,0,0,0,PHI
2008-10-16,0,2,2,WSH
2008-10-18,1,3,4,TOR
2008-10-20,0,1,1,BOS
2008-10-23,1,1,2,CAR
2008-10-25,1,0,1,NYR
2008-10-28,0,1,1,SJS
2008-10-30,0,0,0,PHX
2008-11-01,0,2,2,STL
2008-11-06,0,1,1,EDM
2008-11-08,0,0,0,NYI
2008-11-11,1,2,3,DET
2008-11-13,2,0,2,PHI
2008-11-15,0,1,1,BUF
2008-11-18,0,0,0,MIN
2008-11-20,1,2,3,ATL
2008-11-22,0,0,0,VAN
2008-11-26,1,2,3,NYI
2008-11-28,2,0,2,BUF
2008-11-29,3,1,4,NJD
2008-12-03,0,1,1,NYR
2008-12-04,0,4,4,CAR
2008-12-06,0,1,1,OTT
2008-12-08,0,1,1,BUF
2008-12-10,0,0,0,NJD
2008-12-11,0,3,3,NYI
2008-12-13,0,0,0,PHI
2008-12-18,0,2,2,ATL
2008-12-20,0,0,0,TOR
2008-12-22,1,0,1,BUF
2008-12-23,0,0,0,TBL
2008-12-26,0,0,0,NJD
2008-12-27,1,1,2,MTL
2008-12-30,0,1,1,BOS
2009-01-01,0,0,0,BOS
2009-01-03,0,0,0,FLA
2009-01-05,0,0,0,NYR
2009-01-06,1,0,1,ATL
2009-01-08,0,2,2,NSH
2009-01-10,1,1,2,COL
2009-01-13,0,2,2,PHI
2009-01-14,0,2,2,WSH
