GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1983-10-05,1,1,2,WIN
1983-10-08,0,2,2,NJD
1983-10-09,0,0,0,CHI
1983-10-12,0,1,1,EDM
1983-10-15,0,1,1,LAK
1983-10-19,0,2,2,STL
1983-10-22,0,0,0,CGY
1983-10-26,2,0,2,BUF
1983-10-29,1,0,1,QUE
1983-11-01,1,0,1,STL
1983-11-03,2,0,2,CHI
1983-11-05,1,0,1,VAN
1983-11-06,0,1,1,WSH
1983-11-09,1,0,1,MNS
1983-11-12,1,0,1,EDM
1983-11-13,1,0,1,NYR
1983-11-15,0,1,1,QUE
1983-11-17,0,0,0,MTL
1983-11-19,2,0,2,TOR
1983-11-23,0,0,0,STL
1983-11-25,1,0,1,PIT
1983-11-26,0,1,1,PIT
1983-11-30,1,1,2,TOR
1983-12-03,0,0,0,NYR
1983-12-04,0,0,0,NJD
1983-12-07,0,0,0,MNS
1983-12-10,0,2,2,STL
1983-12-11,0,0,0,CHI
1983-12-13,1,0,1,LAK
1983-12-15,0,1,1,NYI
1983-12-17,0,1,1,PHI
1983-12-18,1,0,1,PHI
1983-12-21,2,1,3,VAN
1983-12-23,3,1,4,TOR
1983-12-26,1,0,1,TOR
1983-12-28,1,0,1,WSH
1983-12-29,1,1,2,NJD
1983-12-31,0,0,0,CHI
1984-01-03,0,2,2,HFD
1984-01-05,0,0,0,MTL
1984-01-07,0,2,2,PHI
1984-01-09,0,1,1,EDM
1984-01-11,1,0,1,BOS
1984-01-14,1,0,1,BUF
1984-01-16,1,1,2,NYR
1984-01-18,0,1,1,CGY
1984-01-20,1,0,1,MNS
1984-01-21,0,0,0,MNS
1984-01-24,0,0,0,NYI
1984-01-27,0,1,1,BUF
1984-01-28,0,1,1,NYI
1984-02-01,0,0,0,HFD
1984-02-04,0,1,1,TOR
1984-02-05,1,1,2,BOS
1984-02-07,0,0,0,HFD
1984-02-09,0,0,0,PIT
1984-02-11,0,1,1,MNS
