GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1979-10-10,0,1,1,CHI
1979-10-13,0,1,1,DET
1979-10-14,1,1,2,VAN
1979-10-19,0,3,3,QUE
1979-10-21,1,1,2,MNS
1979-10-23,0,1,1,NYI
1979-10-24,0,0,0,NYR
1979-10-26,0,0,0,AFM
1979-10-28,0,0,0,WSH
1979-11-02,2,1,3,NYI
1979-11-04,0,1,1,BOS
1979-11-07,1,1,2,DET
1979-11-08,0,0,0,BOS
1979-11-11,0,2,2,TOR
1979-11-13,1,1,2,WSH
1979-11-15,0,2,2,PHI
1979-11-17,0,0,0,HFD
1979-11-18,1,2,3,BUF
1979-11-21,2,2,4,TOR
1979-11-24,0,1,1,PHI
1979-11-28,0,2,2,CHI
1979-11-30,1,2,3,NYI
1979-12-05,0,0,0,MNS
1979-12-07,0,0,0,WIN
1979-12-09,1,1,2,HFD
1979-12-12,0,1,1,AFM
1979-12-14,1,1,2,MTL
1979-12-16,1,1,2,WIN
1979-12-19,2,1,3,DET
1979-12-21,0,1,1,CLR
1979-12-22,2,1,3,LAK
1979-12-26,1,1,2,CLR
1979-12-28,1,0,1,VAN
1979-12-30,0,1,1,QUE
1980-01-02,0,1,1,HFD
1980-01-05,2,0,2,LAK
1980-01-07,0,0,0,MTL
1980-01-09,1,0,1,QUE
1980-01-11,0,1,1,NYR
1980-01-13,0,2,2,BUF
1980-01-16,1,1,2,WSH
1980-01-17,0,0,0,BOS
1980-01-19,2,2,4,PIT
1980-01-20,0,1,1,BUF
1980-01-23,1,1,2,PIT
1980-01-26,0,2,2,TOR
1980-01-27,1,1,2,PHI
1980-01-29,0,0,0,STL
1980-01-30,1,4,5,LAK
1980-02-01,3,1,4,WIN
1980-02-03,1,1,2,LAK
1980-02-06,1,2,3,STL
1980-02-08,1,0,1,AFM
1980-02-10,0,0,0,WIN
1980-02-13,0,1,1,MNS
1980-02-15,0,7,7,WSH
1980-02-17,1,2,3,STL
1980-02-19,0,0,0,HFD
1980-02-20,0,0,0,NYR
1980-02-22,0,0,0,CLR
1980-02-24,0,1,1,BOS
1980-02-27,0,2,2,CHI
1980-02-29,0,1,1,BUF
1980-03-01,0,0,0,VAN
1980-03-04,2,2,4,NYI
1980-03-06,1,2,3,MTL
1980-03-08,1,1,2,PIT
1980-03-09,0,1,1,PHI
1980-03-12,2,0,2,QUE
1980-03-14,0,0,0,CHI
1980-03-15,1,0,1,MTL
1980-03-19,0,1,1,NYR
1980-03-21,3,1,4,PIT
1980-03-25,2,2,4,AFM
1980-03-26,0,2,2,DET
1980-03-29,2,4,6,TOR
1980-04-01,0,0,0,VAN
1980-04-02,1,0,1,MNS
1980-04-04,1,2,3,CLR
1980-10-10,2,1,3,QUE
1980-10-12,0,2,2,CLR
1980-10-15,0,0,0,BUF
1980-10-18,2,1,3,NYI
1980-10-19,1,3,4,NYR
1980-10-22,0,2,2,CGY
1980-10-24,0,0,0,MNS
1980-10-26,0,0,0,LAK
1980-10-29,0,2,2,TOR
1980-11-01,0,0,0,WSH
1980-11-03,2,0,2,PIT
1980-11-05,0,2,2,VAN
1980-11-07,0,1,1,WIN
1980-11-09,0,2,2,STL
1980-11-13,0,0,0,PHI
1980-11-15,1,0,1,TOR
1980-11-16,1,2,3,CHI
1980-11-19,0,2,2,VAN
1980-11-23,0,1,1,BUF
1980-11-25,0,1,1,CLR
1980-11-26,1,4,5,CHI
1980-11-28,0,2,2,HFD
1980-11-29,1,0,1,BOS
1980-12-05,1,0,1,NYR
1980-12-07,1,2,3,HFD
1980-12-10,0,0,0,NYI
1980-12-13,0,1,1,MTL
1980-12-14,0,1,1,QUE
1980-12-16,0,2,2,DET
1980-12-17,0,0,0,WSH
1980-12-20,0,1,1,MTL
1980-12-23,3,0,3,LAK
1980-12-27,0,3,3,DET
1980-12-28,0,0,0,PHI
1980-12-30,1,1,2,CGY
1981-01-02,0,1,1,BOS
1981-01-03,1,2,3,TOR
1981-01-07,2,2,4,WSH
1981-01-09,0,1,1,HFD
1981-01-11,1,4,5,QUE
1981-01-12,0,0,0,MTL
1981-01-14,2,1,3,TOR
1981-01-16,0,0,0,BUF
1981-01-17,1,3,4,STL
1981-01-21,1,2,3,VAN
1981-01-23,0,2,2,NYR
1981-01-24,0,1,1,MNS
1981-01-28,1,4,5,MTL
1981-01-30,1,2,3,CHI
1981-02-01,0,2,2,WSH
1981-02-03,0,0,0,STL
1981-02-04,1,0,1,CHI
1981-02-06,3,3,6,WIN
1981-02-08,1,2,3,CGY
1981-02-13,1,0,1,QUE
1981-02-15,0,1,1,BUF
1981-02-18,5,2,7,STL
1981-02-20,0,0,0,BOS
1981-02-21,0,1,1,WIN
1981-02-24,1,0,1,LAK
1981-02-25,2,2,4,PHI
1981-02-27,1,1,2,DET
1981-02-28,0,1,1,CLR
1981-03-03,2,2,4,NYI
1981-03-04,1,0,1,NYR
1981-03-07,4,0,4,PHI
1981-03-08,0,1,1,PIT
1981-03-12,0,0,0,NYI
